gen.metadata.title;gen.metadata.year;gen.objectives.main_objective;gen.objectives.specific_objectives;gen.recommendations.for_future_research;gen.recommendations.for_practice;gen.research_problem.problem_statement;gen.research_problem.research_questions;esp.domain_methodology.measurement_conditions;esp.domain_methodology.performance_metrics;esp.domain_methodology.simulation_method;esp.domain_methodology.simulation_software;esp.domain_results.axial_ratio_bandwidth;esp.domain_results.bandwidth;esp.domain_results.comparison_with_other_designs;esp.domain_results.cross_polarization_level;esp.domain_results.gain;esp.domain_results.radiation_pattern;esp.domain_results.return_loss;esp.domain_results.return_loss_bandwidth;esp.domain_results.vswr_bandwidth;esp.technical_specifications.antenna_dimensions;esp.technical_specifications.antenna_size;esp.technical_specifications.antenna_type;esp.technical_specifications.antenna_weight;esp.technical_specifications.fabrication_material;esp.technical_specifications.feeding_element_design;esp.technical_specifications.feeding_element_dimensions;esp.technical_specifications.frequency_band;esp.technical_specifications.polarization;esp.technical_specifications.substrate_loss_tangent;esp.technical_specifications.substrate_material;esp.technical_specifications.substrate_permittivity;esp.technical_specifications.substrate_thickness;esp.technical_specifications.superstrate_design;esp.technical_specifications.superstrate_element_sizes;esp.technical_specifications.superstrate_element_spacing
Dual-band bidirectional circularly polarized microstrip antenna for CubeSat system;2018;To design and demonstrate a novel dual-band bidirectional microstrip antenna with identical right-handed circular polarization for CubeSat applications (p. 1);"Achieve dual-band operation at 1.575 GHz and 2.230 GHz (p. 1); Ensure bidirectional radiation with identical right-handed circular polarization (p. 1); Verify the performance through simulation and measurement (p. 3)";Not mentioned;Not mentioned;The need for a low-cost, compact, and lightweight dual-band bidirectional circularly polarized microstrip antenna for CubeSat systems (p. 1);"How can a single-feeding network and single-layer substrate be used to achieve dual-band bidirectional circular polarization? (p. 1); What are the performance metrics of the proposed antenna at 1.575 GHz and 2.230 GHz? (p. 3)";Not mentioned;['Reflection coefficient', 'Far-field radiation pattern', 'Axial ratio', 'RHCP gain'] (p. 3);FEM-based full wave EM simulation (p. 2);Not mentioned;15 MHz for -z direction and 17 MHz for +z direction (p. 4);85 MHz for 1.575 GHz and 85 MHz for 2.230 GHz (p. 3);Not mentioned;16 dB for -z-axis at 1.575 GHz and 26 dB for +z-axis at 2.230 GHz (p. 3);0 dBic for forward radiation at 2.228 GHz (p. 4);Bidirectional broadside radiation patterns toward -z-axis at 1.575 GHz and +z-axis at 2.230 GHz (p. 3);Not mentioned;Not mentioned;Not mentioned;32.8 mm (p. 2);Not mentioned;Dual-band bidirectional circularly polarized microstrip antenna (p. 1);Not mentioned;FR4 substrate (εr = 4.2, tan δ = 0.018, h = 1.6 mm) (p. 2);Single-feeding network with a quarter-wave impedance transformer matching circuit (p. 2);Not mentioned;1.575 GHz and 2.230 GHz (p. 1);Right-handed circular polarization (RHCP) (p. 1);0.018 (p. 2);FR4 (p. 2);4.2 (p. 2);1.6 mm (p. 2);Not mentioned;Not mentioned;Not mentioned
Design of a wideband circularly polarized 2 x 2 array with shorted annular patches at X-band on a CubeSat;2017;To design a single layer wideband circularly polarized 2 x 2 microstrip array at X-band frequencies for a 1U CubeSat (p. 1);"Model the 2 x 2 array on a 1U CubeSat (p. 1); Compare the performance of the 2 x 2 array to a single element microstrip antenna (p. 1)";Investigation of the array's performance in real-world satellite communication scenarios (p. 2);Further testing and validation of the design through measured results (p. 2);The need for a wideband circularly polarized antenna for radio communication systems on nano-satellites, specifically 1U CubeSats (p. 1);"How can a single layer 2 x 2 microstrip array using shorted annular patch elements be designed for X-band frequencies? (p. 1); What are the performance benefits of the 2 x 2 array compared to a single element microstrip antenna? (p. 1)";Not mentioned;['Gain', 'Bandwidth', 'Return Loss', 'Axial Ratio', 'Radiation Pattern'] (p. 2);Full-wave EM simulator (p. 2);Altair FEKO (p. 2);Not mentioned;Not mentioned;The 2 x 2 array outperforms a single element microstrip antenna in terms of wideband circular polarization (p. 2);Not mentioned;Not mentioned;Unidirectional (p. 2);Not mentioned;Not mentioned;Not mentioned;Not mentioned;Not mentioned;2 x 2 microstrip array with shorted annular patches (p. 1);Not mentioned;Not mentioned;Sequential-phase feeding network (p. 2);Not mentioned;X-band (p. 1);Circular polarization (p. 1);0.0009 (p. 1);Not mentioned;2.2 (p. 1);1.575 mm (p. 1);Not mentioned;Not mentioned;Not mentioned
High-Gain Compact Circularly Polarized X-Band Superstrate Antenna for CubeSat Applications;2021;To design and fabricate a high-gain, compact, and lightweight circularly polarized X-band superstrate antenna for CubeSat applications (p. 1);"Optimize the size and arrangement of passive elements in the superstrate layer to maximize gain and bandwidth (p. 2); Not mentioned; Ensure the antenna is suitable for CubeSat missions by maintaining a compact size and low weight (p. 1)";"Not mentioned; Investigate the performance of the antenna in different CubeSat configurations and environments (p. 4)";"Not mentioned; Use the proposed antenna design in CubeSat missions for improved communication performance (p. 4)";The need for high gain, wideband, and compact antennas for CubeSat X-band communication systems (p. 1);"What is the optimal design for a compact, lightweight, and high-performance X-band antenna for CubeSats? (p. 1); How can the gain and bandwidth of a microstrip antenna be improved for CubeSat applications? (p. 1); Not mentioned";11.9 m × 5.6 m × 6.0 m anechoic chamber (p. 3);['Gain', 'Bandwidth', 'Return Loss', 'VSWR', 'Radiation Pattern'] (p. 6);HFSS FEM method and QNM package (p. 2);Altair FEKO (p. 2);6% (p. 1);1.0 GHz (p. 1);Outperforms other designs in S11 bandwidth, SLL, gain, cross-polarization level, and size (p. 4);−25 dB (p. 3);14 dBic (p. 3);Unidirectional (p. 5);-31.3 dB (p. 6);20% (8–9.8 GHz) (p. 1);[8.36, 8.58, 8.75, 9.49] GHz (p. 6);62 × 62 × 22.2 mm (p. 1);6.84% of a 1U CubeSat's top face (10 × 10 cm²) (p. 3);High-gain circularly polarized X-band superstrate antenna (p. 1);29.7 g (p. 1);Rogers RT 5880 (εr = 2.1, tan δ = 0.001, h = 1.5 mm) (p. 3);CP single-feed hexagonal-shaped patch with a slot (p. 2);L = 5.34 mm, SL = 6.5 mm, SW = 0.54 mm, Px = 1.9 mm, Py = 2.05 mm (p. 2);X-band (8–9.8 GHz) (p. 1);Left-handed circularly polarized (LHCP) (p. 1);0.001 (p. 2);RO3003 (p. 2);3.0 (p. 2);1.52 mm (p. 2);5 × 5 rectangular grid of square patches (p. 2);A: 10 mm, B: 9 mm, C: 8 mm, D: 7 mm, E: 6 mm (p. 3);3 mm (p. 3)
Low-Profile Circularly-Polarized Isoflux Beam Antenna Array Based on Annular Aperture Elements for CubeSat Earth Coverage Applications;2021;To design and demonstrate a low-profile 5 GHz sequential rotation-fed antenna array with isoflux radiation pattern for CubeSat earth coverage applications (p. 10);"Achieve a low profile and light weight design (p. 10); Optimize the radiator and feeding network parameters to achieve the desired performance (p. 6); Deduce an overall reflection coefficient to characterize impedance matching (p. 2); Design and fabricate a prototype operating at C band (5 GHz) (p. 1); Develop a radiation pattern modelling method for the array (p. 2); Not mentioned; Meet the frequency, footprint size, profile, polarization, AR, gain, and efficiency requirements (p. 6); Ensure good electrical performance (p. 10); Compare performance with existing designs (p. 10)";"Not mentioned; Investigate the impact of different substrate materials and thicknesses (p. 7); Explore the use of the antenna array in different CubeSat missions (p. 7); Explore the application of the design method to other frequency bands (p. 10)";"Not mentioned; Use the proposed design for CubeSat earth coverage applications (p. 10); Further optimization of the feeding network to improve performance (p. 7)";Small satellites, particularly CubeSats, require antennas with stringent indicators such as low mass, low profile, small size, and mechanical robustness. Current antenna designs for earth coverage beams are often bulky and heavy, limiting their application in CubeSats (p. 1);"How can a low-profile antenna array be designed for CubeSat applications? (p. 10); How can the antenna array meet the requirements for a 400 km-orbit CubeSat with a circular earth coverage area of 250 km²? (p. 6); What are the optimal parameters for achieving the required radiation pattern and performance metrics? (p. 6); How can a low-profile, light-weight, and easy-to-integrate antenna array be designed for CubeSat earth coverage applications? (p. 1); Not mentioned; What are the performance metrics of the proposed antenna array compared to existing designs? (p. 10)";R&S ZVA67 VNA and MVG Starlab antenna pattern measurement system (p. 8);['Gain', 'AR', 'Efficiency', 'Reflection Coefficient', 'Radiation Pattern'] (p. 6);Radiation pattern modelling method, overall reflection coefficient, hybrid synthesis program (p. 2);Altair FEKO (p. 2);110° (p. 10);4.9 to 5.09 GHz (p. 8);The proposed array features a low profile, light weight, and ease-of-integration, making it suitable for CubeSat applications (p. 1);Not mentioned;4.7 dBic at θ = ±35°, 2.2 dBic at θ = 0° (p. 6);Good axisymmetric radiation pattern (p. 2);Not mentioned;Not mentioned;Not mentioned;100 mm × 100 mm × 4.688 mm (p. 10);100 mm × 100 mm (1U mounting face) (p. 6);CP isoflux beam antenna array based on sequential rotation-fed annular aperture elements (p. 1);Not mentioned;Rogers RT/duroid 5870 (εr = 2.33, tanδ = 0.0012, thickness = 3.18 mm) (p. 6);Two annular apertures: inner aperture (circular patch antenna element) and outer aperture (eight rationally arranged PIFA elements) (p. 10);Not mentioned;C band (5 GHz) (p. 1);Left-handed circularly polarized (LHCP) (p. 6);0.0012 (p. 6);Rogers RT/duroid 5870 (p. 6);2.33 (p. 6);3.18 mm (p. 6);Not mentioned;Not mentioned;Not mentioned
A 3-D metal printed folded-shorted patch array with an integrated feeding circuit offering dual-band circularly polarised radiation for cubesat applications;2024;To investigate the use of 3-D metal printing technology for the fabrication of a miniaturised CP antenna for dual-band communications in CubeSats (p. 4);"Measure the performance metrics including gain, bandwidth, and efficiency (p. 4); Optimize the dimensions of the radiating slots for dual-band operation (p. 2); Achieve consistent fabrication quality of FSP elements (p. 2); Integrate a wideband feeding network for CP functionality (p. 2); Design and fabricate a 2 by 2 array of FSP elements (p. 4)";"Investigation of the antenna's performance in space environments (p. 5); Investigate the impact of environmental conditions on the performance of 3-D printed FSP antennas (p. 3); Development of multi-band and multi-functional antenna designs (p. 5)";"Use 3-D metal printing technology for consistent fabrication of FSP elements (p. 2); Further optimization of the feeding circuit for improved performance (p. 5); Optimize radiating slot dimensions for dual-band operation (p. 2); Exploration of different array configurations for versatility (p. 5)";Challenges in achieving consistent fabrication quality and dual-band operation for compact antennas in CubeSats (p. 1);"How can 3-D metal printing technology improve the fabrication consistency and dual-band operation of folded-shorted patch (FSP) antennas for CubeSats? (p. 1); What are the performance metrics of the proposed antenna design compared to existing designs? (p. 4); How can 3-D metal printing technology be used to fabricate a miniaturised CP antenna for CubeSats? (p. 4); What are the performance metrics of the proposed 3-D printed FSP antenna array? (p. 1)";11.9 m × 5.6 m × 6.0 m anechoic chamber (p. 4);['Gain', 'Bandwidth', 'Return Loss', 'VSWR', 'Radiation Pattern'] (p. 3);HFSS FEM method and QNM package (p. 4);Altair FEKO (p. 4);125° at 1.2 GHz, 74° at 2.45 GHz (p. 3);Not mentioned;Outperforms other designs in terms of size, dual-band functionality, and efficiency (p. 4);More than 20 dB below the main beam maximum at broadside (p. 3);2.32 dBic at 1.2 GHz and 1.84 dBic at 2.45 GHz (p. 5);Broad beam CP functionality (p. 3);Not mentioned;Not mentioned;Not mentioned;0.4 × 0.4 × 0.056 mm (p. 4);0.4 × 0.4 × 0.056 λ³₀ (where λ₀ is the free space wavelength at 1.2 GHz) (p. 2);Miniaturised CP antenna using 3-D metal printing (p. 4);Not mentioned;High conductivity aluminum powder (3.56 × 10⁷ S/m) (p. 2);Five-port feeding network with 180° and 90° couplers (p. 2);Not mentioned;L-band (1.18-1.2 GHz) and S-band (2.45 GHz) (p. 3);Right-handed circular polarisation (RHCP) (p. 2);0.0027 (p. 3);RT4003C (p. 3);3.38 (p. 3);0.51 mm (p. 3);Not mentioned;Not mentioned;Not mentioned
A New Patch Antenna for CubeSat: Dual feed, L/S dual-band stacked, and circularly polarized;2020;To design a compact Yagi antenna with an integrated balun for CubeSat applications, achieving adaptive frequency operation and high gain at different frequency bands (p. 4);"Achieve high gain at different frequency bands (p. 9); Maintain a compact volume and low profile (p. 9); Achieve high gains at different angles and frequency bands (p. 4); Ensure low manufacturing cost (p. 9); Develop a Yagi antenna design that can operate at L-band and S-band by adjusting the angle between the antenna and the satellite (p. 4); Not mentioned; Design a mechanically adjustable antenna to achieve three functional states at different operating frequencies (p. 1); Evaluate the performance metrics such as gain, bandwidth, and radiation patterns (p. 1)";"Investigation of other frequency bands and antenna configurations (p. 9); Not mentioned; Further testing and optimization of the antenna design for different CubeSat configurations (p. 1); Investigate more elaborate deployment mechanisms for multi-angle operations (p. 4)";"Not mentioned; CubeSat designers can choose from three popular frequencies through a simple angle configuration (p. 1); Use the proposed antenna design for CubeSat missions to achieve adaptive frequency operation and high gain (p. 9); Further testing in different environments to validate performance (p. 9)";The need for a compact, low-cost, and high-performance antenna for CubeSat applications, particularly addressing the limitations between antenna size and performance (p. 4);"What is the impact of adaptive frequency operation on the performance of the antenna? (p. 4); What are the performance metrics of the proposed antenna design? (p. 1); How can a printed Yagi antenna with an integrated balun be designed to operate at multiple frequencies in the L-band and S-band? (p. 1); Not mentioned; How can the antenna size be minimized while maintaining high performance for CubeSat applications? (p. 4); How can a patch antenna be designed to achieve high gain and multi-frequency operation for CubeSat applications? (p. 9)";11.9 m × 5.6 m × 6.0 m anechoic chamber (p. 1);['Gain', 'Bandwidth', 'Return Loss', 'Radiation Pattern'] (p. 6);HFSS FEM method (p. 5);Altair FEKO (p. 5);Not mentioned;250 MHz (2.82 GHz to 3.07 GHz) at A = 10°, 100 MHz (1.3–1.4 GHz) at A = 50°, 190 MHz (2.38–2.57 GHz) at A = 90° (p. 6);Compared with other printed Yagi antenna designs, e.g., those listed in Table 1, our proposed antenna provides the highest gain at angle A = 10°, that is 8.167 dBi in measurement, however, its bandwidth is narrower. Reference [17] shows higher value of gain than other designs, but the size of this antenna is 43 mm longer than our proposed structure. Thus, besides the adaptive frequency operation, the proposed antenna with tapered balun provides good gain performance in terms of higher gain, and a low reflection coefficient based on the feasible size for CubeSat applications (p. 7);Not mentioned;8.167 dBi at 2.4 GHz, 5.278 dBi at 1.3 GHz, 6.120 dBi at 3 GHz (p. 1);Directional behavior on both planes when A = 90° and 50°. When A = 10°, the measured radiation pattern is closer to unidirectional on θ = 90° and obvious directional on φ = 90° (p. 6);-24.16 dB at A = 10°, -14.49 dB at A = 50°, -18.47 dB at A = 90° (p. 6);Not mentioned;Not mentioned;100 mm × 98 mm (p. 4);Smaller than the CubeSat surface (p. 4);Dual-feed, dual-band, circularly polarized patch antenna (p. 9);Not mentioned;FR4 substrate, with a dielectric constant of 4.4 and a thickness of 0.6 mm (p. 5);Tapered balun integrated with the printed antenna (p. 4);Not mentioned;L-band (1.3–1.4 GHz) and S-band (2.38–2.54 GHz and 2.82–3.08 GHz) (p. 4);Circularly polarized (p. 9);0.02 (p. 4);FR4 (p. 2);4.4 (p. 4);0.6 mm (p. 5);Not mentioned;Not mentioned;Not mentioned
High-gain patch antenna for cubesat-based automatic dependent surveillance-broadcast application;2019;To design a miniaturized high-gain antenna suitable for hosting into a cubesat for ADS-B operation (p. 1);"Achieve a compact size and low-profile structure (p. 1); Ensure sufficient bandwidth and good gain over the operating band for ADS-B receiver (p. 1)";Investigate further improvements in radiation efficiency at higher frequencies (p. 3);Use the proposed antenna design for cubesat-based ADS-B applications (p. 3);Designing a compact and high-gain antenna for cubesat-based ADS-B operation is challenging (p. 1);How can a compact and high-gain antenna be designed for cubesat-based ADS-B operation? (p. 1);Not mentioned;['Gain', 'Bandwidth', 'Return Loss', 'Radiation Pattern'] (p. 3);HFSS electromagnetic solver (p. 2);HFSS (p. 2);Not mentioned;17 MHz (1.087-1.104 GHz) (p. 3);The proposed antenna has a compact size and high gain, making it suitable for cubesat-based ADS-B operation (p. 3);Not mentioned;6.98 dBi at 1.090 GHz (p. 3);Directional with a −3 dB aperture (beamwidth) of about 85-90° (p. 3);-30 dB at 1.093 GHz (p. 3);18 MHz (1.088-1.106 GHz) (p. 3);Not mentioned;80 × 80 × 8.76 mm (p. 1);0.29 λ0 × 0.29λ0 × 0.03λ0 in electrical length at 1.090 GHz (p. 2);Stacked-patch antenna with slots and reflectors (p. 1);Not mentioned;Rogers RT4003 (εr = 3.55, h = 1.62 mm) (p. 2);Probe feed at location 18 mm from the center in the x-direction (p. 2);Not mentioned;1.090 GHz (p. 1);Not mentioned;Not mentioned;Rogers RT4003 (p. 2);3.55 (p. 2);1.62 mm (p. 2);Not mentioned;Not mentioned;Not mentioned
Design, Fabrication and Measurements of an X-Band Cross-Patch Antenna with Metasurface for Advanced LEO CubeSat Missions;2025;To develop a miniaturized and optimized metasurface antenna for CubeSats that meets the requirements of minimal aerodynamic drag, extended mission duration, and efficient power consumption (p. 10);"Design and optimize a planar crossed dipole antenna using HFSS FEM method and QNM package (p. 2); Ensure the antenna does not require deployment mechanisms after launch (p. 10); Improve antenna performance using metasurface to increase CubeSat lifetime and data throughput (p. 2); Evaluate the fabricated antenna prototypes through measurements and compare them to simulation results (p. 2); Evaluate the antenna's performance in terms of gain, bandwidth, and radiation pattern (p. 5); Optimize the metasurface unit cell to enhance antenna performance (p. 10); Optimize the antenna design to minimize size and power consumption while maximizing performance (p. 5); Design a cross-patch antenna with a metasurface to achieve high gain and wide bandwidth (p. 10)";"Investigate the performance of the metasurface antenna in different environmental conditions (p. 8); Explore the application of the antenna design in other frequency bands (p. 10); Investigate the performance of the antenna in different orbital conditions and with varying CubeSat configurations (p. 2); Develop multilayer Fabry-Perot antennas to achieve even higher gains (p. 10); Explore the use of advanced materials to further enhance antenna performance (p. 8)";"Conduct further testing to optimize the design for different CubeSat sizes and missions (p. 8); Integrate the proposed antenna design into 1U CubeSat missions to enhance communication and mission longevity (p. 1); Integrate the developed antenna design into CubeSat missions to enhance communication capabilities (p. 10); Integrate the metasurface antenna design into CubeSat missions to improve communication efficiency (p. 8); Optimize the metasurface unit cell for further performance improvements (p. 10)";The need for a compact, lightweight, and efficient antenna design for CubeSats to extend mission duration and improve data reception periods while maintaining low power consumption (p. 10);"What are the key performance metrics that can be achieved with the new antenna design? (p. 10); What are the performance improvements of the metasurface antenna compared to traditional designs? (p. 5); How can the antenna design be optimized to meet the geometrical, mechanical, and electrical requirements of CubeSats? (p. 5); What are the performance metrics of the proposed antenna design, and how do they compare to existing designs? (p. 2); How can a cross-patch antenna with metasurface be designed to occupy less than 8% of a 1U CubeSat's top face while maintaining high performance? (p. 2); How can the antenna design be optimized to meet the size and performance requirements of CubeSats? (p. 10)";11.9 m × 5.6 m × 6.0 m anechoic chamber (p. 10);['Gain', 'Bandwidth', 'Return Loss', 'VSWR', 'Radiation Pattern'] (p. 3);HFSS FEM method and QNM package (p. 2);Altair FEKO (p. 6);Not mentioned;1.0 GHz (p. 10);The proposed antenna design outperforms other designs in terms of gain, bandwidth, and size (p. 3);Not mentioned;10.0 dBi (p. 10);Unidirectional (p. 10);-31.3 dB (p. 6);1.31 GHz (p. 7);[8.36, 8.58, 8.75, 9.49] GHz (p. 7);32.4 × 48.9 × 3 mm (p. 8);6.84% of a 1U CubeSat's top face (10 × 10 cm²) (p. 3);Cross-patch antenna with metasurface (p. 10);Not mentioned;Rogers RT 5880 (εr = 2.1, tan δ = 0.001, h = 1.5 mm) (p. 2);Planar dipole elements arranged perpendicularly (p. 10);5 × 3.5 mm² (p. 3);X-band (8–9.8 GHz) (p. 10);Linear (p. 8);0.001 (p. 2);Rogers RT 5880 (p. 2);2.1 (p. 2);1.5 mm (p. 2);Array of square unit cells (p. 3);Not mentioned;Not mentioned
High-Gain Pixel Patch Antenna Array for Miniature Wireless Communications and IoT Applications;2023;To investigate pixel antenna arrays for wireless communication and IoT systems, focusing on design, analysis, and comparison with traditional designs (p. 1);"Achieve a 75% reduction in patch design area and a 90% reduction in full design area (p. 14); Design and analyze pixel patch antennas for 5G and CubeSat applications (p. 1); Compare the performance of traditional and proposed pixel patch antennas (p. 1); Evaluate the performance of the proposed pixel antenna array in terms of gain and radiation pattern (p. 14)";"Investigation of the proposed design in real-world 5G and CubeSat applications (p. 6); Investigate the performance of the proposed design in different environments and applications (p. 14)";"Use the proposed pixel antenna design in small space devices and miniaturized systems (p. 14); Further testing and optimization of the proposed design for different frequency bands (p. 6)";The need for small, high-gain, and efficient antennas for 5G and CubeSat applications due to the rapid development of wireless technology and the downsizing of devices and satellites (p. 1);"How can the proposed pixel antenna design achieve miniaturization and high gain? (p. 14); How can pixel patch antennas be designed to meet the functional requirements for 5G and CubeSat applications? (p. 1); What are the performance improvements of the proposed pixel antenna compared to traditional designs? (p. 14); What are the performance metrics and design parameters of pixel patch antennas compared to traditional designs? (p. 1)";Network analyzer for measuring traditional patch antenna and proposed pixel patch element structures (p. 14);Gain, radiation pattern, design area reduction (p. 14);Finite element method (FEM) and commercial software (Altair FEKO) (p. 2);Altair FEKO (p. 11);Not mentioned;Not mentioned;The proposed pixel patch design area reduction is approximately 75%, and the full design area reduction is approximately 90% (p. 14);Not mentioned;Up to 32.7 dB (p. 13);Relatively wide beam (p. 14);-23 dB (p. 5);Not mentioned;Not mentioned;5 mm x 5 mm (p. 3);25% of a conventional patch (p. 1);Miniaturized pixel antenna using DS-Post (p. 14);Not mentioned;Rogers Duroid 6010 (εr = 10.2, tan δ = 0.0023, h = 0.635 mm) (p. 3);Driven-Shorting Post (DS-Post) (p. 14);Not mentioned;5.32 GHz (p. 10);Not mentioned;0.0023 (p. 3);Rogers Duroid 6010 (p. 3);10.2 (p. 3);0.635 mm (p. 3);Not mentioned;Not mentioned;Not mentioned
Dual-band optical imaging system-integrated patch antenna based on anisotropic fractal for earth-observation CubeSats;2022;To propose a concept of an S-band patch antenna operating in two bands based on an anisotropic fractal with an optimal method of location for 1U-6U Earth-observation CubeSats (p. 2);"Compare the proposed antenna with existing designs (p. 7); Measure and analyze the performance metrics (p. 7); To integrate the optical (imaging device) and antenna systems into one surface (p. 2); To solve several relevant problems, including increasing the area of solar cells, thereby increasing energy security, simplifying the production of the antenna, and operating the SSC (p. 2); Model and simulate the antenna design (p. 7)";"Investigate the performance of the antenna in different environmental conditions (p. 8); Investigate the impact of different substrate materials on antenna performance (p. 5); Explore the integration of the proposed antenna with other CubeSat subsystems (p. 5); Explore the integration of the antenna with other subsystems of CubeSats (p. 8)";"Optimize the substrate height to improve realized gain and efficiency (p. 5); Use the proposed antenna design for 1U-6U Earth-observation CubeSats (p. 2); Integrate the proposed antenna design in future CubeSat missions (p. 8)";The limited size and communication resources of CubeSat nanosatellites require advanced solutions in this area. Efficient use of the surface area of the CubeSat is also critical. Therefore, optimization of the physical dimensions of SSC components, including antenna devices, is a relevant task (p. 1);"How can the physical dimensions of CubeSat components, including antenna devices, be optimized? (p. 1); What are the characteristics of a dual-band optical imaging system-integrated patch antenna based on an anisotropic fractal for Earth-observation CubeSats? (p. 1); How can a dual-band patch antenna be integrated with an optical imaging system for CubeSats? (p. 7); What are the performance characteristics of the proposed antenna compared to existing designs? (p. 7)";Vector analyzer MS46121A, RF signal generator NI PXIe-1065, spectrum analyzer Agilent N9340B, rotating stepping system (p. 3);['Gain', 'Bandwidth', 'Return Loss', 'VSWR', 'Radiation Pattern'] (p. 3);HFSS FEM method and QNM package (p. 8);CST Microwave Studio 2018 (p. 2);Not mentioned;-10 dB impedance bandwidth: 57 MHz (2423–2480 MHz) at 2.45 GHz, 33 MHz (2026–2059 MHz) at 2.04 GHz (p. 4);Outperforms other designs in terms of compactness and gain (p. 8);Not mentioned;4 dBi at the first resonant frequency, 2.15 dBi at the second resonant frequency (p. 8);Apple-shaped pattern at 2.45 GHz, more directional characteristics at 2.04 GHz (p. 4);Much lower than -10 dB at resonant frequencies (p. 4);Not mentioned;Not mentioned;100 × 100 mm (p. 2);100 × 100 mm (p. 2);Dual-band patch antenna based on anisotropic fractal (p. 1);Not mentioned;Double-sided Glass Epoxy Sheet FR-4 (εr = 4.3) (p. 2);Not mentioned;Not mentioned;2.100–2.330 GHz and 1.980–2.055 GHz (p. 8);Not mentioned;Not mentioned;Double-sided Glass Epoxy Sheet FR-4 (p. 2);4.3 (p. 2);1.6 mm, 2.5 mm, 4.7 mm, 6.8 mm (p. 5);Not mentioned;Not mentioned;Not mentioned
