gen.metadata.title;gen.metadata.year;gen.objectives.main_objective;gen.objectives.specific_objectives;gen.recommendations.for_future_research;gen.recommendations.for_practice;gen.research_problem.problem_statement;gen.research_problem.research_questions;esp.domain_methodology.measurement_conditions;esp.domain_methodology.performance_metrics;esp.domain_methodology.simulation_method;esp.domain_methodology.simulation_software;esp.domain_results.axial_ratio_bandwidth;esp.domain_results.bandwidth;esp.domain_results.comparison_with_other_designs;esp.domain_results.cross_polarization_level;esp.domain_results.gain;esp.domain_results.radiation_pattern;esp.domain_results.return_loss;esp.domain_results.return_loss_bandwidth;esp.domain_results.vswr_bandwidth;esp.technical_specifications.antenna_dimensions;esp.technical_specifications.antenna_size;esp.technical_specifications.antenna_type;esp.technical_specifications.antenna_weight;esp.technical_specifications.fabrication_material;esp.technical_specifications.feeding_element_design;esp.technical_specifications.feeding_element_dimensions;esp.technical_specifications.frequency_band;esp.technical_specifications.polarization;esp.technical_specifications.substrate_loss_tangent;esp.technical_specifications.substrate_material;esp.technical_specifications.substrate_permittivity;esp.technical_specifications.substrate_thickness;esp.technical_specifications.superstrate_design;esp.technical_specifications.superstrate_element_sizes;esp.technical_specifications.superstrate_element_spacing
Compact and High Gain 4 × 4 Circularly Polarized Microstrip Patch Antenna Array for Next Generation Small Satellite;2021;To design, simulate, and fabricate a compact wideband CP microstrip antenna array for next-generation small satellite applications in the Ku-band (p. 7);"Achieve a gain of 12 dBic with minimal AR less than 1.5 dB in the angular width of ±10° (p. 9); Achieve a left-handed circularly polarized gain of more than 12 dBic with an axial ratio level below 1.5 dB in the ±10° angular space for the whole bandwidth from 8.05 GHz to 8.25 GHz (p. 1); Not mentioned; Extend the 2 × 2 array to a 4 × 4 array using a multistage SR feeding network (p. 9); Ensure the array meets the application requirements of next-generation small satellites (p. 1)";"Investigation of the array's performance in different environmental conditions (p. 1); Not mentioned; Development of multi-band CP microstrip antenna arrays (p. 10); Investigation of the design for other frequency bands (p. 10)";"Not mentioned; Further testing and validation in real-world satellite applications (p. 10); Further testing and optimization for different satellite applications (p. 1); Optimization of the feeding network for higher efficiency (p. 10)";Limited availability of compact, high-gain, and wideband CP microstrip antenna arrays for next-generation small satellite applications (p. 7);"How can a high gain and compact 4 × 4 circularly polarized microstrip patch antenna array be designed for small satellites? (p. 1); What are the performance metrics of the proposed antenna array in terms of gain, bandwidth, and axial ratio? (p. 1); How can a compact wideband CP microstrip antenna array be designed for small satellite applications? (p. 7); Not mentioned; What are the performance metrics of the proposed antenna array compared to existing designs? (p. 7)";Anechoic chamber (p. 3);['Gain', 'Bandwidth', 'Return Loss', 'VSWR', 'Radiation Pattern', 'Axial Ratio'] (p. 1);CST Microwave Studio (p. 3);CST Microwave Studio (p. 3);3 dB ARBW from 8.05 GHz to 8.25 GHz (p. 1);10 dB IBW covers the X-band (p. 3);Outperforms other designs in terms of gain, AR, and compactness (p. 9);Below −15 dBic in the broadside direction (p. 9);15 to 15.5 dBic (p. 1);Stable in both φ = 0° and φ = 90° planes (p. 9);Not mentioned;Not mentioned;Not mentioned;3.48λg × 3.48λg (p. 9);Not mentioned;4 × 4 circularly polarized microstrip patch antenna array (p. 1);Not mentioned;Rogers RT6006 (ϵr = 6.15, tand = 0.0027, thickness = 1.27 mm) (p. 3);Sequential rotational phase feed with open stub (p. 2);Not mentioned;Ku-band (7.8 to 8.52 GHz) (p. 9);Left-handed circularly polarized (LHCP) (p. 1);0.0027 (p. 3);Rogers RT6006 (p. 3);6.15 (p. 3);1.27 mm (p. 3);Not mentioned;Not mentioned;Not mentioned
Design and validation of a dual-band circular polarization patch antenna and stripline combiner for the FSSCat mission;2023;To design, simulate, prototype, and test a dual-frequency left-hand circular polarization patch antenna array for the 3Cat-5/A satellite (p. 8);"Design and simulate a dual-frequency circular polarization antenna stack (p. 4); Integrate and validate the Flight Model (p. 1); Perform theoretical analysis and simulations (p. 1); Design a dual-band six-patch array with a stripline combiner (p. 8); Select the best antenna type and design solution (p. 1); Simulate and prototype single-frequency circular polarization antennas (p. 4); Manufacture and test prototypes (p. 1); Characterize the combiner for the antenna array (p. 5); Perform thermal vacuum and radiofrequency characterization tests (p. 8); Define the requirements for the nadir antenna (p. 1)";"Explore other design solutions for even smaller and more efficient antennas (p. 1); Investigate the impact of M2.5 interface holes on combiner performance (p. 7); Conduct more extensive testing of the antenna and combiner in different environments (p. 7); Further research on improving manufacturing tolerances and dielectric constant consistency (p. 9)";"Future missions should remanufacture an antenna that complies with all stated requirements (p. 9); Use the designed antenna in future CubeSat missions with similar requirements (p. 1); Further optimize the combiner design to reduce discrepancies between simulations and measurements (p. 7)";Designing a nadir antenna for the FMPL-2 payload on the 3Cat-5/A 6U CubeSat, which must be directive, dual-band, left-hand circularly polarized, and fit within strict envelope and weight constraints (p. 1);"How can a dual-band, high-directivity, left-hand circularly polarized antenna be designed for a CubeSat? (p. 1); What are the effects of environmental testing on the antenna's performance? (p. 8); How can the antenna be designed to fit within the specified dimensions and meet the required performance metrics? (p. 8); What are the optimal dimensions and configurations for achieving the desired performance? (p. 4); What are the optimal design solutions for meeting the envelope and performance requirements of the nadir antenna? (p. 1); How can a dual-frequency circular polarization patch antenna be designed for CubeSats? (p. 4)";11.9 m × 5.6 m × 6.0 m anechoic chamber (p. 9);['Gain', 'Bandwidth', 'Return Loss', 'VSWR', 'Radiation Pattern', 'Axial Ratio'] (p. 9);Numerical simulations (p. 2);CST Studio Suite (p. 4);Not mentioned;Not mentioned;Not mentioned;Not mentioned;10.1 dB (1413 MHz), 5.48 dB (1575.42 MHz) (p. 9);Unidirectional (p. 5);S11 parameters for the dual-frequency single stack antenna: -17.5 dB at 1400 MHz, -5.7 dB at 1413 MHz, -1.5 dB at 1427 MHz, -7.3 dB at 1575.42 MHz (p. 7);Not mentioned;Not mentioned;300 mm × 200 mm × 7 mm (p. 1);Not mentioned;Dual-frequency left-hand circular polarization patch antenna array (p. 8);Not mentioned;Rogers 4003C (εr = 3.38, tan δ = 0.0027, h = 1.52 mm) (p. 8);Diagonal feed for circular polarization (p. 2);Not mentioned;MWR band (1413 MHz) and GPS L1 band (1575.42 MHz) (p. 4);Left-handed circularly polarized (LHCP) (p. 4);0.0027 (p. 8);Rogers 4003C (p. 4);3.18 (p. 4);1.524 mm (p. 4);Not mentioned;Not mentioned;Not mentioned
A Microstrip Antenna Based on a Standing-Wave Fractal Geometry for CubeSat Applications;2016;To design a frequency reconfigurable E-shaped patch antenna using PIN diodes for operation in multiple frequency bands suitable for WMTS and MICS (p. 2214);"Reconfigure the antenna to operate in a narrow band centered at 0.5 GHz (p. 2214); Achieve dual-band operation at 0.4 and 1.4 GHz (p. 2214); Achieve triple-band operation at 0.4, 1.4, and 2 GHz (p. 2214); Achieve circular polarization and directional radiation (p. 2210); Maintain small dimensions and low weight (p. 2210)";"Investigate further miniaturization techniques (p. 2213); Investigate the performance of the antenna in real-world medical applications (p. 2214)";"Use the proposed antenna for CubeSat applications (p. 2213); Use the proposed antenna in WMTS and MICS devices (p. 2214)";The need for compact, reconfigurable antennas for Wireless Medical Telemetry Systems (WMTS) and Medical Implant Communication Services (MICS) that can operate in multiple frequency bands (p. 2214);"How can a reconfigurable E-shaped patch antenna be designed to operate in multiple frequency bands for WMTS and MICS? (p. 2214); How can a planar antenna with circular polarization and reduced dimensions be designed for CubeSat applications? (p. 2210)";Not mentioned;['Gain', 'Bandwidth', 'Return Loss', 'Axial Ratio', 'Radiation Pattern'] (p. 2212);Not mentioned;Not mentioned;2.22 GHz to 2.53 GHz (p. 2213);"335–565 MHz, 1.29–1.42 GHz, and 2.03–2.28 GHz in multiband; 300–645 MHz in single band (p. 2214)";Not mentioned;Not mentioned;5.7 dBi (p. 2212);Directional radiation with maximum radiation over the top face (H-plane) (p. 2212);Not mentioned;Not mentioned;Not mentioned;72 × 72 mm² (p. 2212);Not mentioned;Microstrip standing-wave fractal antenna (p. 2210);33.7 g including the SMA-type connector (p. 2213);FR4 epoxy dielectric substrate (εr = 4.4, tan δ = 0.003, h = 1.6 mm) (p. 2214);Coaxial feeding (p. 2211);Not mentioned;"335–565 MHz, 1.29–1.42 GHz, and 2.03–2.28 GHz in multiband; 300–645 MHz in single band (p. 2214)";Circular polarization (p. 2210);0.019 (p. 2211);FR4 epoxy (p. 2214);4.08 (p. 2211);3.16 mm (p. 2211);Not mentioned;Not mentioned;Not mentioned
New Concept of Telemetry X-Band Circularly Polarized Antenna Payload for CubeSat;2017;To design, manufacture, and test a new concept of a compact circularly polarized X-band antenna for 3U CubeSats that meets the isoflux radiation pattern and other performance specifications (p. 2);"Achieve an isoflux radiation pattern (p. 2); Not mentioned; Minimize the axial ratio in the opening angle ±65° (p. 2); Ensure the antenna is compact and thin enough to fit the 10cm x 10cm top face of a 3U CubeSat (p. 2)";"Investigate the impact of different materials and manufacturing techniques (p. 5); Not mentioned; Further optimization of the antenna design to achieve exact isoflux radiation (p. 5)";"Consider a wider bandwidth patch to enhance performance (p. 5); Not mentioned; Use a more efficient connector to improve the antenna efficiency (p. 5)";The challenge is to integrate a high-quality circularly polarized isoflux X-band antenna on the top face of a 3U CubeSat, which is 10cm x 10cm, while meeting specific radiation and performance specifications (p. 2);"Not mentioned; How can a compact circularly polarized X-band antenna be designed to fit the top face of a 3U CubeSat? (p. 2); What design elements are necessary to achieve an isoflux radiation pattern and minimize axial ratio? (p. 2)";Anechoic chamber (p. 3);['Gain', 'Axial Ratio', 'Return Loss', 'Radiation Pattern', 'Cross-polarization Discrimination'] (p. 5);HFSS FEM method and QNM package (p. 2);Altair FEKO (p. 2);<3dB from 8 to 8.4GHz (p. 5);Not mentioned;Not mentioned;Greater than 15dB for θ varying between -60° and +60° (p. 5);-0.4dBi at θ = 60° (p. 5);Not isoflux, but meets other specifications (p. 5);Lower than -10dB (p. 5);Not mentioned;Not mentioned;Footprint= 9cm*9cm, Thickness < 9mm outside the Satellite (p. 2);Not mentioned;High-gain circularly polarized X-band antenna with parasitic crossed dipoles (p. 2);Not mentioned;RO4003c (εr=3.55, tg δ=2.7E-3) (p. 4);Sequential-phase feed microstrip circuit with a 180° hybrid ring coupler and two 90° hybrid couplers (p. 3);Not mentioned;X-band [8.0 - 8.4 GHz] (p. 2);Right-handed circular polarization (RHCP) (p. 2);2.7E-3 (p. 4);RO4003c (p. 4);3.55 (p. 4);1.524mm (p. 4);12 parasitic crossed dipoles placed on a 45mm-diameter circle (p. 3);"Upper face: 0.8mm wide, 11.7mm long, 0.5mm gap; Back face: 0.8mm wide, 12.3mm long, gap=0 (p. 3)";Not mentioned
High Gain Patch Antenna for CubeSat;2016;To design a high gain patch antenna array for CubeSat to improve communication reliability and data rate in S-band (p. 1);"Design a compact and high gain patch antenna array (p. 1); Ensure the antenna achieves good impedance matching in the S-band at 2.46 GHz (p. 1)";Investigate the performance of the antenna array in real-world CubeSat missions (p. 3);Use the high gain patch antenna array design for CubeSat applications to improve communication reliability and data rate (p. 3);The need for a high gain patch antenna for CubeSat to ensure reliable communication and high data rate in S-band (p. 1);How can a high gain patch antenna be designed for CubeSat to improve communication reliability and data rate? (p. 1);Not mentioned;['Return Loss', 'Gain', 'Directivity', 'Beam Width', 'VSWR'] (p. 3);CST software (p. 2);CST (p. 2);Not mentioned;Not mentioned;The antenna array provides a gain of 9.6 dB, which is an improvement over the patch antenna used in Tigrisat with a gain of 7.3 dB (p. 3);Not mentioned;9.6 dB (p. 3);Unidirectional (p. 3);-29 dB (p. 2);Not mentioned;Not mentioned;96 mm square substrate (p. 1);Not mentioned;High gain patch antenna array (p. 1);Not mentioned;Rogers RT 5870 (εr = 2.2, tan δ = 0.0009, h = 1.5 mm) (p. 2);Simple tapered line (100Ω) (p. 2);Width of tapered line: 1.2 mm (p. 2);S-band (2 to 4 GHz) (p. 1);Not mentioned;0.0009 (p. 2);Rogers RT 5870 (p. 2);2.2 (p. 2);1.5 mm (p. 2);Not mentioned;Not mentioned;Not mentioned
A Wideband Circularly Polarized Stacked Antenna with Corner Perturbations for CubeSats;2021;To design a single-feed circularly polarized wideband printed antenna for small satellites that can be used with NASA Near-Earth Networks (NEN) for both uplink and downlink communications (p. 1);"Achieve a wide axial ratio (AR) < 3dB bandwidth of 1.24 GHz from 7.02 GHz to 8.26 GHz (16.23%) (p. 1); Optimize the antenna to cover the NASA NEN’s X-band uplink and downlink frequencies (p. 1); Reduce the space required by conventional two-antenna solutions (p. 1)";Conduct experimental validation of the simulation results (p. 2);Implement the proposed antenna design in CubeSat applications to save space and power (p. 2);The challenge of designing a single, compact, circularly polarized antenna that can cover both uplink and downlink frequencies for CubeSats, reducing the space and power requirements (p. 1);"How can a single antenna be designed to cover both uplink and downlink frequencies for CubeSats? (p. 1); What design parameters are necessary to achieve wideband circular polarization and high gain in a compact antenna? (p. 2)";Not mentioned;['Gain', 'Bandwidth', 'Return Loss', 'Axial Ratio'] (p. 2);Finite element method (FEM)-based simulation tool: Ansys HFSS 2020 (p. 2);Ansys HFSS 2020 (p. 2);16.23% (1240 MHz) (p. 2);2020 MHz (p. 2);Not mentioned;Not mentioned;8 dBi (p. 2);Not mentioned;Not mentioned;Not mentioned;Not mentioned;17 mm × 17 mm × 6.5 mm (p. 1);Not mentioned;Single-feed circularly polarized wideband printed antenna (p. 1);Not mentioned;Rogers RT/duroid 6010 (εr = 10.2, h = 1.27 mm) and Rogers RT/duroid 5880 (εr = 2.2, h = 1.575 mm) (p. 2);50Ω coaxial probe feeding (p. 2);Probe position (2.8, 0) mm (p. 2);X-band (7.02 GHz to 8.26 GHz) (p. 1);Right-Hand Circularly Polarized (RHCP) (p. 2);Not mentioned;Rogers RT/duroid 6010 and Rogers RT/duroid 5880 (p. 2);10.2 and 2.2 (p. 2);1.27 mm and 1.575 mm (p. 2);Not mentioned;Not mentioned;Not mentioned
Antenna Design for University Low Cost Student-Built CubeSat Missions;2021;To propose a novel S-band coaxial feed patch antenna design for low-cost CubeSat missions (p. 1);"Achieve high gain and compact size (p. 1); Ensure low cost and compatibility with CubeSat dimensions (p. 1)";Investigation of other design parameters and configurations (p. 3);Further testing and validation in real CubeSat missions (p. 3);Design challenges for low-cost, high-performance S-band patch antennas for university-led CubeSat missions (p. 1);"How can a low-cost, high-gain, compact S-band patch antenna be designed for CubeSats? (p. 1); What are the key design considerations for such antennas? (p. 1)";Not mentioned;['Return Loss', 'Gain', 'Directivity', 'VSWR', 'Radiation Pattern'] (p. 3);CST software (p. 3);CST (p. 3);Not mentioned;Not mentioned;Proposed antenna has a greater gain and is small enough to be combined with a CubeSat (p. 3);Not mentioned;7.114 dBi (p. 3);3D visualization shows maximum gain of 7.114 dBi at 2.69 GHz (p. 3);-11.116 dB (p. 3);Not mentioned;Not mentioned;50.5 × 48 mm (p. 3);Not mentioned;S-band coaxial feed patch antenna (p. 1);Not mentioned;Rogers RT5870 (p. 2);Coaxial Cable (50 Ω) (p. 2);Feed point: (5, -0.5) (p. 3);2 - 4 GHz (S Band) (p. 2);Circular polarization (p. 3);0.0012 (p. 2);Rogers RT5870 (p. 2);2.33 (p. 2);1.65 mm (p. 2);Not mentioned;Not mentioned;Not mentioned
Integration of a UHF Fractal Antenna into a 1U CubeSat for Low-Earth Orbit Mission;2023;To design and analyze a Sierpinski gasket fractal antenna for low-earth orbit CubeSat integration (p. 11);"Exhibit a reflection coefficient of -26.110 dB and a VSWR of 1.104 at the required operating frequency (p. 11); Resonate well from 800 MHz to 1 GHz with 𝒇=920 MHz (p. 11); Fabricate the antenna and perform field tests to validate its performance (p. 2); Simulate and analyze the performance of the fractal antenna using HFSS (p. 2); Achieve a peak antenna gain of 3.148 dBi (p. 11)";"Perform a link budget analysis to determine power requirements and set up modulation parameters for signal transmission and reception (p. 10); Investigate optimized results for other patch geometries (p. 11)";"Use a ground plane with a similar geometry as the radiating patch (p. 11); Consider the CubeSat frame in antenna design (p. 11); Consider the impact of other CubeSat modules on the antenna performance in future designs (p. 9)";Very few attempts have been made to exploit the self-similarity features of fractals in the antenna design to improve the satellite communications performance (p. 2);"What are the performance metrics of the proposed fractal antenna compared to conventional antennas? (p. 2); How can a Sierpinski gasket fractal antenna be integrated into a 1U CubeSat? (p. 11); How can fractal geometry be utilized to design a patch antenna for CubeSat integration? (p. 2); What are the performance benefits of using a fractal antenna over a conventional UHF antenna? (p. 11)";11.9 m × 5.6 m × 6.0 m anechoic chamber (p. 6);['Gain', 'Bandwidth', 'Return Loss', 'VSWR', 'Radiation Pattern'] (p. 6);HFSS FEM method (p. 2);HFSS (p. 2);Not mentioned;Not mentioned;The proposed fractal antenna exhibits better reflection performance and impedance matching at frequencies above 900 MHz compared to a conventional UHF antenna (p. 8);Not mentioned;3.148 dBi (measured) (p. 9);Nearly omnidirectional in the azimuth plane (p. 9);-26.110 dB (p. 11);Not mentioned;Not mentioned;0.15λ×0.15λ×0.006λ (p. 11);Not mentioned;Sierpinski gasket fractal antenna (p. 11);Not mentioned;FR4 substrate (𝑡 = 1.6 mm, 𝜀𝑟 = 4.3, and 𝑡𝑎𝑛𝛿 = 0.02) (p. 2);Microstrip line (p. 5);Not mentioned;800 MHz to 1 GHz (p. 11);Not mentioned;0.02 (p. 2);FR4 (p. 2);4.3 (p. 2);1.6 mm (p. 2);Not mentioned;Not mentioned;Not mentioned
Design of CP, High-Gain, Single-Feed, and Single-Layer S-Band Patch Antenna for Small-Satellite Applications;2015;To develop a compact, high-gain, circularly polarized microstrip patch antenna for the HORYU-IV nanosatellite S-band communication (p. 1);"To achieve an effective bandwidth of 2.73% from 2.2450 to 2.3075 GHz for 10-dB return loss and 3-dB AR bandwidth at 13 MHz (p. 6); To measure the gain and 3-dB AR beamwidth of the antenna prototype (p. 6); Maintain less than 3-dB axial ratio for the entire field of view (p. 1); Achieve a sufficient beamwidth for LEO satellite application (p. 1)";"Investigation of the antenna's performance under different environmental conditions (p. 6); Investigate the performance of the antenna in different environmental conditions (p. 5)";"Further testing and integration of the antenna with other small satellites (p. 6); Integrate the antenna with the satellite body using nonconducting glue (p. 5)";Traditional satellite communication systems suffer from high costs and large antenna sizes, making them unsuitable for small satellites. Microstrip antennas, while lightweight and low-profile, often have low gain and require circular polarization for orientation-related issues (p. 2);"How can a CP, high-gain, single-feed, and single-layer S-band patch antenna be designed for small-satellite applications? (p. 6); How can a compact, high-gain, circularly polarized microstrip patch antenna be designed for small satellite applications? (p. 2)";Environmental and mechanical testing in the KYUTECH Laboratory of Spacecraft Environment Interaction Engineering (LaSEINE) (p. 6);['Gain', 'Bandwidth', 'Return Loss', '3-dB AR Bandwidth', '3-dB AR Beamwidth'] (p. 6);Numerical modeling (p. 6);HFSS 15 (p. 4);0.74% (2.278–2.295 GHz) (p. 4);2.73% (2.2450 to 2.3075 GHz) (p. 6);The antenna achieves higher gain and broader field-of-view coverage with low axial ratio compared to similar designs (p. 4);Not mentioned;7.29 dBi (p. 4);Right-hand CP (RHCP) waves in the Z > 0 half-spaces (p. 4);10-dB (p. 6);2.73% (2.2450 to 2.3075 GHz) (p. 6);Not mentioned;80 × 80 × 1.57 mm (p. 2);Not mentioned;Compact single-layer coaxial-probe-fed circularly polarized high-gain patch antenna (p. 1);25 g (p. 4);Rogers substrate with a relative permittivity of 2.2 (p. 2);Coaxial probe feed from the bottom (p. 3);Not mentioned;S-band (2.2450 to 2.3075 GHz) (p. 6);Right-handed circularly polarized (RHCP) (p. 4);Not mentioned;Rogers substrate (p. 2);2.2 (p. 2);1.57 mm (p. 2);Not mentioned;Not mentioned;Not mentioned
Development of S band antenna for Nanosatellite;2014;To design and develop a circularly polarized, high gain, compact S band patch antenna for the HORYU-IV nanosatellite (p. 1);"Achieve the required S band impedance bandwidth, 3 dB axial ratio beamwidth, and high gain for the HORYU-IV nanosatellite (p. 2); Validate the design through simulation and measurement (p. 3)";Explore further optimization techniques to enhance performance (p. 4);Integrate the designed antenna with the HORYU-IV nanosatellite for high data-rate downlink channel (p. 2);The need for a high gain, circularly polarized, compact S band patch antenna for nanosatellite communications, particularly for the HORYU-IV nanosatellite (p. 1);How can a circularly polarized, high gain, compact S band patch antenna be designed for nanosatellite applications? (p. 1);Satimo Star lab (p. 3);['Gain', 'Bandwidth', 'Return Loss', 'Axial Ratio', 'Radiation Pattern'] (p. 3);Ramped Convergence Particle Swarm Optimization (RCPSO) (p. 2);Altair FEKO (p. 2);17 MHz (p. 3);2.73% (2.2450-2.3075 GHz) (p. 3);Not mentioned;Not mentioned;7.29 dBi (p. 3);Right hand circular polarized (RHCP) (p. 3);-10 dB (p. 3);2.73% (2.2450-2.3075 GHz) (p. 3);Not mentioned;80 mm × 80 mm (p. 2);0.61 λ × 0.61 λ × 0.01 λ at 2.285 GHz (p. 4);Circularly polarized, high gain, single feed, single layer S band patch antenna (p. 1);Not mentioned;Rogers’s substrate with a relative permittivity of 2.2 and thickness of 1.57 mm (p. 1);Probe feed from the bottom (p. 2);Not mentioned;2.285 GHz (p. 2);Right Hand Circular Polarization (RHCP) (p. 2);Not mentioned;Rogers’s substrate (p. 1);2.2 (p. 1);1.57 mm (p. 1);Not mentioned;Not mentioned;Not mentioned
