"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QN5QTX8W","journalArticle","2015","F. E. Tubbal; R. Raad; K. -W. Chin","A Survey and Study of Planar Antennas for Pico-Satellites","IEEE Access","","2169-3536","10.1109/ACCESS.2015.2506577","","Works on pico-satellites have gained momentum recently, especially those that consider pico-satellites as part of a much larger constellation or swarm. This feature allows pico-satellites to provide high temporal resolution of observational data and redundancy. In particular, it reduces the need for satellite-to-ground communications and, hence, helps save energy and allows the execution of distributed processing algorithms on the satellites themselves. Consequently, satellite-to-satellite or cross-link communication is critical. To realize these advantages, the cross-link antenna employed on pico-satellites must meet many criteria, namely, small size, lightweight, low-power consumption, high gain, wide bandwidth, circular polarization, and beam steerability. To date, no works have examined the suitability of existing planar antenna designs for the use on pico-satellites. To this end, this paper contributes to the literature by focusing on microstrip patch and slot antennas that have the ability to achieve high gain, beam steering, and wide bandwidth. This paper reviews 66 planar antenna designs, which includes 38-patch and 28-slot antennas. In addition, we provide an extensive qualitative comparison of these antennas in terms of their mass, size, gain, beam steerability, type of polarization, operating frequency band, and return loss. In addition, we have evaluated three antenna designs that best address the pico-satellite challenges on a common platform. We find that the asymmetric E-shaped patch antenna design is the most suitable for the use on 2U CubeSats. This is because of its small size (34 × 13 mm2) and high gain (7.3 dB). In addition, the E-shaped patch antenna yields a wide -10-dB bandwidth of 2300 MHz and a small return loss of -15.2 dB.","2015","2025-11-07 22:11:29","2025-11-07 22:11:29","","2590-2612","","","3","","IEEE Access","","","","","","","","","","","","","","","","","","","antenna arrays; beam steering; circular polarization; Circular polarization; CubeSat; Gain; Microstrip; Microstrip antennas; microstrip patch antennas; Patch antennas; Photonic Band- Gap (PBG); photonic band-gap (PBG); pico-satellites; planar antennas; Planar arrays; reconfigurable antennas; Satellites; sequential phase-rotation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7RVEE9PI","journalArticle","2018","M. Samsuzzaman; M. T. Islam; S. Kibria; M. Cho","BIRDS-1 CubeSat Constellation Using Compact UHF Patch Antenna","IEEE Access","","2169-3536","10.1109/ACCESS.2018.2871209","","BIRDS-1 satellites, a constellation of five identical 1U CubeSats, were designed, manufactured, assembled, integrated, and tested at LASINE Laboratory, Kyutech, Japan. Students from five nations (Japan, Ghana, Mongolia, Nigeria, and Bangladesh) collaborated to develop a number of CubeSats with coordinated ground coverage, named “Joint Global Multi-Nation BIRDS,”or abbreviated as “BIRDS.”To establish the downlink communication between satellite and Earth, an UHF patch antenna was utilized. Patch antennas offer an ideal solution to Cube satellite communication requirements due to their compact dimension and lightweight. However, the limited surface area available in CubeSats, conventional UHF and VHF patch antennas cannot be used. In this paper, a compact coaxial fed UHF (437.375 MHz) patch antenna system for 1U BIRDS-1 CubeSat (small satellite) is presented. The proposed antenna consists of a spiral meander line patch at the top side and partial ground plane another side of the substrate. A shorting pin has also been utilized to change the resonance to the required UHF band. For the intended 1U BIRDS-1 application, the goal is to mount on satellite body within a limited area of 1U BIRDS-1 satellite. The proposed antenna dimension (0.105λ×0.047λ×0.002λ at 437.375 MHz) and characteristics are compatible with any CubeSat standard structure. A prototype of the antenna was developed with a 1.57-mm-thick single layer Roger's substrate having a relative permittivity of 2.2, and measured results are consistent with simulation. The proposed UHF antenna has integrated and tested with 1U BIRDS-1 satellite. Finally, the satellite was successfully launched on June 3, 2017, from the John F. Kennedy Space Center, the USA at Low Earth Orbit for earth observations, message relay, space environment, and technology demonstration through the International Space Station.","2018","2025-11-07 22:11:30","2025-11-07 22:11:30","","54282-54294","","","6","","IEEE Access","","","","","","","","","","","","","","","","","","","a small satellite; BIRDS; compact planar antenna; CubeSat; Patch antennas; Satellite antennas; Space vehicles; UHF; UHF antennas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KT4FYAUB","journalArticle","2020","P. Bouça; J. N. Matos; S. R. Cunha; N. B. Carvalho","Low-Profile Aperture-Coupled Patch Antenna Array for CubeSat Applications","IEEE Access","","2169-3536","10.1109/ACCESS.2020.2968060","","This paper presents the design, simulation, and measurement results of a dual aperture-coupled microstripline-fed antenna array with circular polarization at the C-band for small satellites applications. The antenna array was designed at a center frequency of 5.5 GHz, and it has a two-port isolation bandwidth of 25 MHz above 20 dB while the axial ratio is below 1 dB. The main objective is to produce a four-patch antenna array to be mounted on CubeSat deployable wings along with a layer of solar panels, maximizing the usable space and obtaining a better link budget for a standardized Cubesat of 10 cm × 10 cm × 10 cm. The orthogonal feedlines' isolation between Tx/Rx signals and a minimization of the multi-layer design provide a lower profile approach considering the state-of-the-art. The significant thickness reduction combined with a new perspective of having both deployable wings transmitting and receiving signals lead to a notable improvement of the overall system. This work is relevant due to the demand for high-performance antenna systems that may expand the capabilities of CubeSats, considering the importance of using an antenna array instead of a single element approach.","2020","2025-11-07 22:11:30","2025-11-07 22:11:30","","20473-20479","","","8","","IEEE Access","","","","","","","","","","","","","","","","","","","Antenna array; Apertures; circular polarization; Couplings; CubeSat; CubeSats; Microstrip antenna arrays; Patch antennas; small satellites","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZKCGMZ6F","journalArticle","2022","K. Trzebiatowski; W. Kalista; M. Rzymowski; Ł. Kulas; K. Nyka","Multibeam Antenna for Ka-Band CubeSat Connectivity Using 3-D Printed Lens and Antenna Array","IEEE Antennas and Wireless Propagation Letters","","1548-5757","10.1109/LAWP.2022.3189073","","In this letter, the design of a passive multibeam lens antenna is proposed for the CubeSat space communication system as an alternative application of a 2-D microstrip antenna array that has originally been designed for a 39-GHz 5G multi-user, multiple-input, multiple-output (MU-MIMO) system. The half-ellipsoid lens is 3-D printed using stereolithography technology. The antenna prototype is capable of selecting the main beam between 16 different directions with a gain ranging from 14 to 16 dBi and a half-power beamwidth of 14$^\circ$–18$^\circ$. The measurements carried out in an anechoic chamber show good agreement with numerical simulations. The presented prototype shows that by employing 3-D printing technologies existing antennas can be easily and inexpensively converted to switched-beam or multibeam solutions.","2022-11","2025-11-07 22:11:30","2025-11-07 22:11:30","","2244-2248","","11","21","","IEEE Antennas and Wireless Propagation Letters","","","","","","","","","","","","","","","","","","","3-D printing; additive manufacturing; Antenna arrays; Antennas; CubeSat; fifth-generation (5G) communication; Gain; Internet-of-Things; Lenses; Microstrip antenna arrays; millimeter-wave antenna; passive multibeam antennas; reconfi-gurable antennas; switched-beam antennas; Switches","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FN4QPHZV","journalArticle","2022","K. Ramahatla; M. Mosalaosi; A. Yahya; B. Basutli","Multiband Reconfigurable Antennas for 5G Wireless and CubeSat Applications: A Review","IEEE Access","","2169-3536","10.1109/ACCESS.2022.3166223","","The rapid development of wireless technology has sparked interest in multi-band reconfigurable antennas as devices and satellites are innovating toward miniaturization. With limited space, reliable and efficient high bandwidth antenna systems are needed for current and next-generation wireless technology as well as for the revolutionary small satellites. The fifth generation of mobile communication technology promises high data rates, low latency and good spectrum efficiency. One of the key enablers of this technology is the integration of satellite technology-particularly CubeSats with terrestrial communication technologies. Next-generation antennas that can meet functional requirements for 5G and CubeSat applications are therefore of fundamental importance. These antenna systems should have large bandwidth, high gain and efficiency and be compact in size. Reconfigurable antennas can provide different configurations in terms of the operating frequency, radiation pattern and polarization. Tuning reconfigurable antennas can be done by changing the physical parameters of the antenna elements through electronic switches, optical switches and the use of meta-materials. The most popular implementation method for reconfigurable antennas for wireless and satellite communication is the electronic switching method due to its high reliability, efficiency, and ease of integration with microwave circuitry. In this article, different techniques for implementing reconfigurable and multi-band antennas are reviewed, with emphasis on two main application areas; 5G wireless communication and CubeSat application. Different reconfiguration techniques have been studied for application in various wireless communication systems such as satellite communication, multiple-input multiple-output (MIMO) systems, cognitive radio and 5G communication. It has been found that reconfigurable antennas have favourable properties for next-generation wireless technology and small satellites. These properties include low cost, less volume requirements and good isolation between wireless standards.","2022","2025-11-07 22:11:30","2025-11-07 22:11:30","","40910-40931","","","10","","IEEE Access","","","","","","","","","","","","","","","","","","","5G; 5G mobile communication; circular polarization; CubeSat; frequency reconfigurable; Microstrip; Microstrip antenna; Microstrip antennas; multi-band; nanosatellite; radiation pattern; reconfigurable antenna; reflection coefficient; RF-switches; Satellite antennas; Satellite broadcasting; Wireless communication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7EZLEF8P","journalArticle","2023","M. Ortiz; M. N. Uddin; M. R. Guerra; E. A. Alwan","Enhancing Gain Through Optimal Antenna Element Distribution in a Thinned Array Configuration","IEEE Open Journal of Antennas and Propagation","","2637-6431","10.1109/OJAP.2023.3331322","","This paper presents an array thinning approach for a 25-element antenna array arranged in a  $5\times5$  grid at 5.4 GHz. Our goal is to eliminate a maximum number of antenna elements with minor gain loss and hence reduce the array size, weight, cost, and power requirements. Consequently, the space saved by the thinned array configuration presents opportunities to integrate additional antennas and hardware, allowing for a low-profile antenna-in-package. Our study showed that a 64% array reduction (from 25 to 9 probe-fed patch antennas) achieved an array gain comparable to a full array configuration. As such, various 9-element configurations for testing were generated through the thinning process and optimized using the genetic algorithm. These configurations were then validated using full-wave simulations. Results show that all configurations that preserved the effective area while maintaining symmetry along all axes showed a minimal effect on gain reduction. Specifically, the best thinning configuration resulted in a loss of only 1.82 dB in simulation at broadside compared to a fully populated  $5\times5$  array. The exact configuration also showed beam scanning performance from −45° to +45° (viz. 90°). A prototype was fabricated and tested for each of the thinned configurations. The measured gain of the optimal 9-element thinned array configuration showed excellent agreement with the simulations.","2023","2025-11-07 22:11:30","2025-11-07 22:11:30","","1176-1186","","","4","","IEEE Open Journal of Antennas and Propagation","","","","","","","","","","","","","","","","","","","Antenna arrays; Antenna measurements; Antenna theory; array optimization; Arrays; Gain; Genetic algorithms; patch antenna array; Patch antennas; sparse arrays; Thinned arrays","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WDJQZXV2","journalArticle","2025","S. Ramezanzadehyazdi; D. Isleifson; P. Ferguson; L. Shafai; C. Shafai","Low Profile Enhanced Bandwidth Optically Transparent and Semi-Transparent Meshed Patch Antennas for Integration With Solar Cells","IEEE Open Journal of Antennas and Propagation","","2637-6431","10.1109/OJAP.2025.3569162","","This paper presents three novel low-profile optically transparent meshed patch antennas with enhanced bandwidth that can be fully integrated into a solar cell. The bandwidth enhancement was achieved by applying a stacking technique to two square meshed patches with close resonance frequencies. The first antenna used fused silica glass substrates for both lower and upper dielectric layers to maintain transparency and high integrability with the solar cells. The antenna resonated at 2.43 GHz and exhibited an impedance bandwidth of 6.2% and a peak gain of 6.5 dBi. In the second design, a polymer layer replaced the upper glass substrate and was partially removed to reduce the antenna mass. 65% mass reduction was achieved at the expense of lower efficiency. To further reduce the mass, the polymer layer was perforated. The perforated design resulted in a lightweight stacked meshed patch antenna with a normal transparency of 94%, which can be placed directly on top of the solar cells without affecting the cell performance.","2025-08","2025-11-07 22:11:30","2025-11-07 22:11:30","","1237-1247","","4","6","","IEEE Open Journal of Antennas and Propagation","","","","","","","","","","","","","","","","","","","Antenna measurements; Antennas; Bandwidth; Bandwidth enhancement; Copper; CubeSat; CubeSats; Glass; meshed patch antennas; Microstrip antennas; Patch antennas; Photovoltaic cells; solar cell integrated antennas; stacked antennas; SU-8 photoresist; Substrates; transparent antennas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XD8454RR","journalArticle","2022","G. Muntoni; G. Montisci; A. Melis; M. B. Lodi; N. Curreli; M. Simone; G. Tedeschi; A. Fanti; T. Pisanu; I. Kriegel; A. Athanassiou; G. Mazzarella","A Curved 3D-Printed S-Band Patch Antenna for Plastic CubeSat","IEEE Open Journal of Antennas and Propagation","","2637-6431","10.1109/OJAP.2022.3222454","","The new space economy paradigm demands for cost-effective systems for its development. Plastic CubeSats are appealing candidates. To enable the use of this new generation of space systems, the challenge of designing suitable communication sub-systems must be faced. In this work, a 3Dprinted ABS antenna easily embeddable in a plastic CubeSat is proposed. The 3D-printed material has been characterized in terms of dielectric, mechanical and thermal properties, and the compliance with space requirements has been assessed. In particular, thermogravimetric and calorimetric tests have been carried out. Static and dynamic mechanical analysis were performed. To comply with the stringent weight and space requirements, the unique antenna design of a curved stacked patch has been proposed. The patch covers the uplink (2.025–2.11 GHz) and downlink (2.2–2.29 GHz) bands for Telemetry Tracking and Command (TT&C) applications, with an overall bandwidth of about 300 MHz (14%). Additionally, taking advantage of the curved shape, the proposed antenna shows a size reduction of the resonant length of about 34%. The size of the antenna is  $71.5 \times 71.5 \times 13$  mm3 and is characterized by a weight of only 51 g. Also, in silico tests, by relying on the measured physical properties and a non-linear numerical model, have been carried out to assess the performances of the final antenna layout during a typical CubeSat mission. The proposed design strategy could be used to develop plastic CubeSats embedding performing antennas.","2022","2025-11-07 22:11:30","2025-11-07 22:11:30","","1351-1363","","","3","","IEEE Open Journal of Antennas and Propagation","","","","","","","","","","","","","","","","","","","3D printing; ABS; antennas; Antennas; CubeSat; CubeSats; new space economy; Patch antennas; Plastics; Substrates; Three-dimensional displays; Three-dimensional printing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EMU85KHM","journalArticle","2021","L. Leszkowska; M. Rzymowski; K. Nyka; L. Kulas","High-Gain Compact Circularly Polarized X-Band Superstrate Antenna for CubeSat Applications","IEEE Antennas and Wireless Propagation Letters","","1548-5757","10.1109/LAWP.2021.3076673","","In this letter, a concept of a high-gain circularly polarized X-band antenna employing a partially reflecting surface (PRS) has been presented. In the initial antenna analysis, the influence of parasitic element size in the PRS structure on antenna radiation pattern parameters has been investigated and the optimal arrangement of the elements has been identified. The proposed antenna provides a wide bandwidth of return loss above 10 dB of 20% (8–9.8 GHz) and circular polarization (CP) in a frequency range 8.35–8.95 GHz. The final design is compact (62 × 62 × 22.2 mm) and lightweight (29.7 g), which makes it suitable for use not only in CubeSat X-band communication systems but also in drones and high-altitude pseudosatellite applications.","2021-11","2025-11-07 22:11:30","2025-11-07 22:11:30","","2090-2094","","11","20","","IEEE Antennas and Wireless Propagation Letters","","","","","","","","","","","","","","","","","","","Antenna; Antenna measurements; Antennas; Bandwidth; circular polarization (CP); CubeSat; Gain; high-gain; microstrip antenna; partially reflecting surface (PRS); Satellite antennas; Transmitting antennas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7SZQDWWE","journalArticle","2023","F. Ahmed; K. Singh; K. P. Esselle","State-of-the-Art Passive Beam-Steering Antenna Technologies: Challenges and Capabilities","IEEE Access","","2169-3536","10.1109/ACCESS.2023.3278570","","This article reviews the latest developments of beam steering antennas that are entirely passive to realize interference-free, power-efficient, and highly secured end-to-end wireless communication. We briefly introduce metamaterials and metasurfaces, a timely advanced topic in electromagnetics (EM) and optics. Mathematical formulas associated with the design of beam steering metasurfaces have been numerically explained. In addition, reflect and transmit array antennas are also discussed for an in-depth understanding of beam scanning principles in elevation and azimuth planes. We then provide intuitive design examples and discuss three broad classes of the latest beam scanning antenna systems, namely 1) Reflectarrays (RAs); 2) Transmitarrays (TAs); and 3) Near-Field Meta-Steering (NFMS) antennas that are available in up-to-date literature. The third category’s unprecedented scanning performance and aesthetically compact size are elucidated compared to previous antenna systems, such as reflector dishes or large phased arrays. Alongside the working principles, the trade-offs for the scanning techniques, operation, and physical size of each antenna type are also discussed. Towards the end, an evaluative conclusion with a comparative discussion on the beam-steering antenna systems is provided. Future research directions considering mass-market demands are also indicated.","2023","2025-11-07 22:11:30","2025-11-07 22:11:30","","69101-69116","","","11","","IEEE Access","","","","","","","","","","","","","","","","","","","Antenna arrays; Antennas; arrays; beam-scanning; beam-steering; CubeSat; feed-tuning; global connectivity; high-gain; high-power; metamaterials; Metamaterials; metasurfaces; near-field meta-steering; phase correction; phase gradient; phase transformation; Phased arrays; reflectarrays; Reflector antennas; Satellite antennas; satellite communication; space; transmitarrays; Transmitting antennas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
