"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TNVZCWPY","journalArticle","2019","준, 안 형; 성, 김 창; 배, 박 용","메타표면 덮개를 적용한 C-대역 큐브위성 탑재용 기판 집적 도파관 슬롯 배열 안테나","Journal of Korean Institute of Electromagnetic Engineering &amp; Science / Han-Guk Jeonjapa Hakoe Nonmunji","","12263133","","https://research.ebsco.com/linkprocessor/plink?id=21fe85f5-1de1-3a4d-a7a0-300bb0cf3742","In this paper, we propose a substrate integrated waveguide(SIW) slot array antenna with a metasurface superstrate operating in the C band. SIW slot array antennas have advantages for CubeSat applications due to their low radiation loss, low transmission loss, and high isolation characteristics. However, these antennas have narrow bandwidth characteristics due to high Q factor. To compensate for this, the additional resonance mode TM10 of the metasurface superstrate has been used. An SIW slot array antenna without metasurface superstrate has dimensions of 23.5 mm×67.5 mm×0.675 mm(0.37λ0×1.05λ0×0.01λ0, λ0 at 4.67 GHz), bandwidth of 4.65～4.69 GHz (approximately 1 %), and maximum realization gain of 4.7 dBi. Using the metasurface superstrate, the size of the antenna is 23.5 mm×67.5 mm×3.7 mm(0.37λ0×1.07λ0×0.06λ0, λ0 at 4.74 GHz), the bandwidth is 4.73～4.87 GHz(3 %), and the maximum realized gain is 6.58 dBi.","2019","2025-11-07 22:18:09","2025-11-07 22:18:09","","851-858","","11","30","","","","","","","","","","","","","","","","","","","","","All other building equipment contractors; Antennas (Electronics); Bandwidths; Microstrip antenna arrays; Other Building Equipment Contractors; Other Electronic Parts and Equipment Merchant Wholesalers; Power and Communication Line and Related Structures Construction; Quality factor; Resonance; Slot antennas; Waveguide antennas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D9B4PQPG","journalArticle","2017","Simón, Jorge; Alvarez-Flores, José Luis; Villanueva-Maldonado, Juvenal; Castillo-Topete, Víctor Hugo; Soriano-Equigua, Leonel; Flores-Troncoso, Jorge","A Microstrip Second-Iteration Square Koch Dipole Antenna for TT&amp;C Downlink Applications in Small Satellites.","International Journal of Antennas &amp; Propagation","","16875869","","https://research.ebsco.com/linkprocessor/plink?id=772ca7c2-4ef3-34e2-a7b4-5addcdef33e2","A microstrip second-iteration square Koch dipole fractal antenna is presented. This meandered antenna has a total length of 56.56 cm including its feed gap and was printed on the diagonal of a 100 mm × 100 mm PCB card that acts as CubeSat face. The antenna that was designed to optimize space shows acceptable performance at its resonance frequency of 455 MHz within the 70-centimeter band, a band that is commonly used for TTC CubeSat subsystems. The designed fractal antenna shows a reflection coefficient below −20 dB, a VSWR below 1.2, a −10 dB bandwidth of 50 MHz, and impedance magnitude of 56 Ω, while the average maximum gain around its resonance frequency is 2.14 dBi. All these parameters make this designed antenna suitable for small satellite applications at a band where a linear λ/2 dipolar antenna working at 455 MHz would be about 32.97 cm long, which does not fit within the largest dimension of a CubeSat face corresponding to 14.14 cm.","2017","2025-11-07 22:18:09","2025-11-07 22:18:09","","1-8","","null","null","","","","","","","","","","","","","","","","","","","","","Bandwidths; Dipole antennas; Microspacecraft; Microstrip antennas; Reflectance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5KQPKF2X","journalArticle","2017","Buttazzoni, G.; Comisso, M.; Cuttin, A.; Fragiacomo, M.; Vescovo, R.; Vincenti Gatti, R.","Reconfigurable phased antenna array for extending cubesat operations to Ka-band: Design and feasibility.","Acta Astronautica","","0094-5765","","https://research.ebsco.com/linkprocessor/plink?id=9308fe6f-afa6-33f6-bcfc-a9ae8bb5d005","Started as educational tools, CubeSats have immediately encountered the favor of the scientific community, subsequently becoming viable platforms for research and commercial applications. To ensure competitive data rates, some pioneers have started to explore the usage of the Ka-band beside the conventional amateur radio frequencies. In this context, this study proposes a phased antenna array design for Ka-band downlink operations consisting of 8×8 circularly polarized subarrays of microstrip patches filling one face of a single CubeSat unit. The conceived structure is developed to support 1.5 GHz bandwidth and dual-task missions, whose feasibility is verified by proper link budgets. The dual-task operations are enabled by a low-complexity phase-only control algorithm that provides pattern reconfigurability in order to satisfy both orbiting and intersatellite missions, while remaining adherent to the cost-effective CubeSat paradigm.","2017","2025-11-07 22:18:09","2025-11-07 22:18:09","","114-121","","null","137","","","","","","","","","","","","","","","","","","","","","Array processing; Circular polarization; CubeSats (Artificial satellites); Microstrip antenna arrays; Reflectarray antennas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L4X63CXE","journalArticle","2021","Yekan, Taha; Baktur, Reyhan","Study of the Impact Between a Triple Junction Space Solar Cell and the Antenna Integrated on Top of It.","IEEE Transactions on Antennas &amp; Propagation","","0018926X","","https://research.ebsco.com/linkprocessor/plink?id=51947d0d-a1e9-3f08-9a8f-0616c16aa451","Solid and meshed patch antennas integrated on the cover glass of a commercial space solar cell were examined. The effect of the solar cell on the antenna was analyzed and validated. The impact of the antenna on the efficiency of the solar cell was quantified through experiments. It has been found that while the active semiconductor junction in a solar cell severely reduces the gain of the antenna in many space communication bands, the electrode lattice in the solar cell can potentially act as an isolation between the solar cell and the antenna, preventing the gain worsening. The effect of the lattice also promises a potential application in lab-grown solar cells such that one may carefully design the size and number of the electrodes to ensure the best gain for the integrated antenna. The main factor that impacts the efficiency of the solar cells was found to be the cover glass rather than the shadow from the antenna. These results can serve as design guidelines when integrating optic","2021","2025-11-07 22:18:09","2025-11-07 22:18:09","","1734-1739","","3","69","","","","","","","","","","","","","","","","","","","","","All other building equipment contractors; Antennas (Electronics); Electronic components; heating and air-conditioning equipment and supplies merchant wholesalers; navigational and communications equipment and supplies merchant wholesalers; Other Building Equipment Contractors; Other Electronic Parts and Equipment Merchant Wholesalers; Plumbing; Power and Communication Line and Related Structures Construction; Semiconductor and other electronic component manufacturing; Semiconductor and Related Device Manufacturing; Semiconductor junctions; Silicon solar cells; Solar cell efficiency; Solar cells; Solar panels","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PCF4MJYA","journalArticle","2019","Ameen, M.; Ahmad, O.; Chaudhary, R.K.","Wideband circularly‐polarised high‐gain diversity antenna loaded with metasurface reflector for small satellite applications.","Electronics Letters (Wiley-Blackwell)","","00135194","","https://research.ebsco.com/linkprocessor/plink?id=c0eb4e78-1931-34d4-adb4-b6600a967a41","This Letter demonstrates the design of a two‐element polarisation diversity antenna, applicable for modern small satellite application systems. The intended antenna mainly consists of two monopole radiators loaded with metasurface reflector as a ground plane. The dimensions of the radiator antenna are 40 × 22 × 1.6 mm3. The antenna measured results offers a wider S11 bandwidth of (2.23–2.91 GHz) and wider axial ratio bandwidth (ARBW) of (2.16–2.92 GHz) with a common S11 and ARBW of 26.45% is obtained. A maximum gain of 7.02 dBic and isolation better than 14.5 dB is observed along with the operating frequency range. The antenna provides an ARBW(&lt; 3 dB) and gain (&gt; 2.38 dBic) for theta = ± 45°, for all phi values along with the complete operating frequency range. Also, the antenna port‐1 provides left‐handed circular polarisation and port‐2 provides right‐handed circular polarisation radiation with directional radiation characteristics.","2019","2025-11-07 22:18:09","2025-11-07 22:18:09","","829-831","","14","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PQFYK43I","journalArticle","2017","Yekan, Taha; Baktur, Reyhan","An X band patch antenna integrated with commercial triple-junction space solar cells.","Microwave &amp; Optical Technology Letters","","0895-2477","","https://research.ebsco.com/linkprocessor/plink?id=d31755a8-4b99-30df-9ac1-409d87f493ed","ABSTRACT An X band patch antenna was integrated on top of the cover glass of commercial space-certified solar cell and was studied for understanding the interaction between the solar cell and the antenna. It was found that the solar cell acts as a lossy substrate for the antenna and reduces the gain of the antenna by about 2 dB, and such a reduction remains consistent for different working states of the solar cell. The patch antenna reduces the efficiency of the solar cells because it blocks light, however, at 10 GHz, the impact of a patch antenna alone to the solar cell's efficiency is less than 1%. © 2016 Wiley Periodicals, Inc. Microwave Opt Technol Lett 59:260-265, 2017","2017","2025-11-07 22:18:09","2025-11-07 22:18:09","","260-265","","2","59","","","","","","","","","","","","","","","","","","","","","All other building equipment contractors; Antennas (Electronics); CubeSats (Artificial satellites); Electronic components; Energy bands; navigational and communications equipment and supplies merchant wholesalers; Other Building Equipment Contractors; Other Electronic Parts and Equipment Merchant Wholesalers; Power and Communication Line and Related Structures Construction; Semiconductor and other electronic component manufacturing; Semiconductor and Related Device Manufacturing; Solar cells; Substrate noise","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FGAZS8DH","journalArticle","2019","Ren, Xue; Liao, Shaowei; Xue, Quan","A Circularly Polarized Spaceborne Antenna With Shaped Beam for Earth Coverage Applications.","IEEE Transactions on Antennas &amp; Propagation","","0018926X","","https://research.ebsco.com/linkprocessor/plink?id=237d5403-e090-3295-a7de-aef63f684d1b","Since the earth is spherical in shape, the paths from the satellite to various points on the earth are different in both the distance and atmospheric attenuation. In order to maintain approximately uniform effective signal strength on the surface of the earth, the radiation pattern of the antenna should be formed according to the shape of the earth. Former antennas for earth coverage purpose are either bulky or hard to realize the desired beam pattern within a wide angle range, making them unsuitable for small satellite applications. To solve this problem, this paper presents a novel circularly polarized earth coverage antenna for spaceborne applications. The proposed antenna consists of a specially designed dielectric cylinder, in which a cavity backed patch antenna is embedded. With the help of the concave structure at the top of the dielectric cylinder, the refraction of electromagnetic wave can be controlled, and then the radiation pattern is shaped. A sequentially feeding network","2019","2025-11-07 22:18:09","2025-11-07 22:18:09","","2235-2242","","4","67","","","","","","","","","","","","","","","","","","","","","Antenna radiation patterns; Atmospheric attenuation; Cavity resonators; Circular polarization; Shaped beam antennas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TVH3F9VY","journalArticle","2015","Samsuzzaman, M.; Islam, Mohammad Tariqul; Kibria, Salehin; Cho, Mengu","A compact circularly polarized high gain S-band nanosatellite antenna using ramped convergence particle swarm optimization.","Microwave &amp; Optical Technology Letters","","0895-2477","","https://research.ebsco.com/linkprocessor/plink?id=4ab5057c-f40a-3100-80fe-591f24f4c2d5","ABSTRACT In this article, a compact single layer coaxial probe fed circularly polarized high gain patch antenna for HORYU-IV nanosatellite S-band communication is presented. The proposed antenna consists of four asymmetric V-shaped slits, one at each corner of a rectangular patch, and a parasitic rectangular strip. Using ramped convergence particle swarm optimization algorithm to optimize some primary parameters of the antenna. Prototypes of the proposed design antenna was fabricated and studied experimentally. Measurement and simulation results are indicating that the proposed antenna realizes the required HORYU-IV nanosatellite specifications for low earth orbit satellite application in terms of frequency bandwidth, axial ratio (AR), right hand circular polarization (RHCP), gain, and 3-dB AR beamwidth. © 2015 Wiley Periodicals, Inc. Microwave Opt Technol Lett 57:1503-1508, 2015","2015","2025-11-07 22:18:09","2025-11-07 22:18:09","","1503-1508","","6","57","","","","","","","","","","","","","","","","","","","","","All other building equipment contractors; Antennas (Electronics); Nanosatellites; Other Building Equipment Contractors; Other Electronic Parts and Equipment Merchant Wholesalers; Parameter estimation; Particle swarm optimization; Polarization (Electricity); Power and Communication Line and Related Structures Construction; Stochastic convergence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DVM2Y93N","journalArticle","2021","Anim, Kyei; Shin, Goo-Hwan; Jung, Young-Bae","Dual-Resonant Stacked Linear Array of Cross-Slotted Patches for Small SAR Satellites.","IEEE Transactions on Antennas &amp; Propagation","","0018-926X","","https://research.ebsco.com/linkprocessor/plink?id=68175243-cd8e-3c5f-b286-83ee1c950b65","A cross-slotted linear array antenna of four stacked patches is proposed for X -band synthetic aperture radar (SAR) on a small satellite platform. Owing to the reliability, small size and mass restriction features of small satellites, the antenna is based on a thin dual-substrate topology with each element surrounded by metal vias to form a cavity-backed patch to result in a lightweight and high efficiency. Although inherently narrowband due to the thin substrate layer, cross-slotted patches were proposed to yield a dual resonance, and lower input impedance at the desired band to meet the SAR requirement. The fabricated prototype exhibits a peak gain of 12 dBi with a radiation efficiency of 84% at 9.44–9.87 GHz for |S<sub>11</sub>| &lt; −10 dB.","2021","2025-11-07 22:18:09","2025-11-07 22:18:09","","3584-3587","","6","69","","","","","","","","","","","","","","","","","","","","","Antenna arrays; Linear antenna arrays; Metalwork; Microspacecraft; Microstrip antenna arrays; Satellite Telecommunications; Synthetic aperture radar; Telecommunication satellites","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SA2KJWQ2","journalArticle","2007","Arnieri, Emilio; Boccia, Luigi; Amendola, Giandomenico; Di Massa, Giuseppe","A Compact High Gain Antenna for Small Satellite Applications.","IEEE Transactions on Antennas &amp; Propagation","","0018-926X","","https://research.ebsco.com/linkprocessor/plink?id=34816716-ed71-3b9f-a35c-502712093d06","The development of a circularly-polarized compact high-gain antenna to be used for the European Student Earth Orbiter small satellite mission is described. The antenna is realized stacking two coaxial shorted annular patches and placing the top one at half a wavelength from the lower one. At variance of other similar configurations proposed in the past, the one presented in this paper has several important features which can be extremely useful for application in the space environment. In particular, it can be easily fabricated employing suspended technology and its radiation characteristics are to some extent controllable by opportunely varying the geometry. In the following, a straightforward design procedure will be presented detailing the criteria to optimize top and bottom radiating elements. Both numerical and measured results will show that the proposed design satisfies the specifications and presents characteristics comparable to other larger and heavier solutions usually more","2007","2025-11-07 22:18:09","2025-11-07 22:18:09","","277-282","","2","55","","","","","","","","","","","","","","","","","","","","","All other building equipment contractors; Antennas (Electronics); Artificial satellites; Configurations (Geometry); Geometry; Other Building Equipment Contractors; Other Electronic Parts and Equipment Merchant Wholesalers; Power and Communication Line and Related Structures Construction; Radiation; Space Research and Technology; Wavelengths","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
