"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GMF5TTB3","conferencePaper","2026","Kamaladevi, R.; Siva, M.; Vignesh, S.","Design of Microstrip Patch Antenna Array for Cubesat Applications","Commun. Comput. Info. Sci.","18650937 (ISSN); 18650929 (ISSN); 9789819671748 (ISBN); 9789819664610 (ISBN); 9783032026743 (ISBN); 9783032008831 (ISBN); 9783032026712 (ISBN); 9789819671779 (ISBN); 9783031949425 (ISBN); 9789819666874 (ISBN); 9783031936968 (ISBN); 9783031941207 (ISBN)","","10.1007/978-3-032-00884-8_22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013160633&doi=10.1007%2F978-3-032-00884-8_22&partnerID=40&md5=3b7e48cde230d8f3075847c580809e9d","This paper presents a high-gain patch antenna array designed for CubeSat applications. The antenna incorporates parasitic elements to enhance its performance, focusing on improving both gain and impedance matching. The proposed design aims to achieve optimal resonance and operational efficiency within the X-band frequency range. Specifically, the resonant frequency of the antenna is tuned to 8.15 GHz, making it suitable for applications in satellite communication and weather monitoring systems. The design features a 1x2 patch antenna array, which has been optimized to provide a high gain of 11.8 dB at the resonant frequency of 8.15 GHz. This performance is attributed to the inclusion of parasitic elements that effectively boost the antenna’s directivity and overall efficiency. Additionally, the antenna exhibits favorable impedance matching characteristics, with a Voltage Standing Wave Ratio (VSWR) of 1.4054 and a reflection coefficient of −15.4295 dB at the operating frequency. These results demonstrate that the proposed antenna is well-suited for CubeSat applications, where high gain and low reflection are critical for reliable communication and data transmission. The combination of high gain, efficient impedance matching, and strong resonant performance at 8.15 GHz makes this antenna design a promising solution for next-generation CubeSat communication systems and weather monitoring platforms operating in the X-band. © 2025 Elsevier B.V., All rights reserved.","2026","2025-11-07 22:06:11","2025-11-07 22:06:11","","279-289","","","2612 CCIS","","","","","","","","Springer Science and Business Media Deutschland GmbH","","English","","","Scopus","","","","Journal Abbreviation: Commun. Comput. Info. Sci.","<p>Export Date: 07 November 2025; Cited By: 0; Correspondence Address: R. Kamaladevi; MepcoSchlenk Engineering College (Autonomous), Sivakasi, India; email: kamalachozhan@mepcoeng.ac.in; Conference name: 2nd International Conference on Renewable Energy, Green Computing and Sustainable Development, REGS 2025; Conference location: Hyderabad; Conference sponsors: ISTE</p>","","","Antenna arrays; Cubesat; Efficiency; High gain; Impedance matching (electric); Impedance matchings; Microstrip antennas; Microwave antennas; Natural frequencies; PAA; Parasitic element; Patch antenna arrays; PE; Performance; PEs; Reflection; Reflection Coefficient; Satellite antennas; Satellite communication systems; Slot antennas; Small satellites; SMPA; Weather monitoring","","Gundebommu, S.L.; Chintala, L.R.; Kotha, S.R.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Communications in Computer and Information Science","","","","","","","","","","","","","","",""
"GRDZWKL7","journalArticle","2025","Park, G.; Yang, D.-W.; Oh, M.-W.; Chae, J.-S.; Yoon, H.; Han, J.-H.; Lee, D.-Y.","Deployable mesh reflector antenna for global navigation satellite system radio occultation within 1U CubeSat form factor","Aerospace Science and Technology","","12709638 (ISSN)","10.1016/j.ast.2025.110694","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012368635&doi=10.1016%2Fj.ast.2025.110694&partnerID=40&md5=35bc5826c91dc4dfce3e824d9ab0dddc","The Global Navigation Satellite System Radio Occultation (GNSS-RO) technique is recognized as an effective method for atmospheric observation. However, the cost of deploying and operating satellite constellations remains a significant challenge. CubeSats offer a promising alternative due to their cost efficiency and mission flexibility, but their small form factor limits antenna aperture size, resulting in reduced antenna gain—a critical factor for GNSS-RO performance. This study presents a 0.5-meter deployable mesh reflector antenna designed to be stowed within a standard 1 U CubeSat (10 cm × 10 cm × 10 cm). The proposed design employs a central hub with a cross-axis folding and locking mechanism that enables both a high storage ratio and reliable deployment. The prototype demonstrates high geometric stability, achieving a deployed surface accuracy with a root mean square error of 5.41 mm after the first deployment. The measured directivity reaches 13.07 dBi, representing a 61 % improvement over a commercial GNSS-RO patch antenna. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-07 22:06:11","2025-11-07 22:06:11","","","","","167","","Aerosp Sci Technol","","","","","","","","English","","","Scopus","","","","Publisher: Elsevier Masson s.r.l.","<p>Export Date: 07 November 2025; Cited By: 0; Correspondence Address: D.-Y. Lee; Department of Aerospace Engineering, Korea Advanced Institute of Science and Technology (KAIST), Daejeon, 34141, South Korea; email: ae_dylee@kaist.ac.kr</p>","","","Antenna reflectors; Approximation theory; Communication satellites; Cost effectiveness; Cross-axis folding hinge; Cubesat; CubeSat; Deployable antenna; Foldings; Form factors; Global navigation satellite system radio occultation; Global Navigation Satellite Systems; Global positioning system; GNSS-RO; Locks (fasteners); Mean square error; Mesh generation; Mesh reflector antenna; Microstrip antennas; Radio navigation; Radio occultations; Reflection; Reflector antennas; Satellite antennas; Slot antennas; Small satellites","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"277A28LY","journalArticle","2025","Shim, H.; Kee, C.","Enhancing RTK-based relative navigation for CubeSats rendezvous: An ADOP perspective on integer ambiguity resolution","Acta Astronautica","","00945765 (ISSN); 0080336426 (ISBN); 0080323626 (ISBN); 0080299857 (ISBN); 9780080299853 (ISBN); 0080311067 (ISBN); 0080299865 (ISBN)","10.1016/j.actaastro.2025.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012449706&doi=10.1016%2Fj.actaastro.2025.08.001&partnerID=40&md5=dbce168ba37c455e153f05ecae8180c2","This study addresses the practical challenges of real-time kinematic (RTK)-based precise relative navigation and integer ambiguity resolution for CubeSat rendezvous missions. We propose a single-frequency, single-station RTK relative navigation system specifically designed for low Earth orbit (LEO) satellites and adapted from ground-based RTK systems. To achieve precise relative navigation, we analyze the statistical characteristics of integer ambiguity in carrier-phase measurements, starting with pseudorange-based differential GPS relative navigation. Instead of using the conventional extended Kalman filter, we introduce a recursive ambiguity filter based on weighted least squares, improving the float solution for ambiguity estimation without requiring complex filter designs. By deriving the statistical characteristics and the spatial metric known as ambiguity dilution of precision, we establish a strategy to achieve a 100 % success-fix rate in integer ambiguity resolution, utilizing the least-squares ambiguity decorrelation adjustment method for RTK relative navigation. The proposed algorithm's reliability is validated through software-based LEO simulators and ground-based experimental hardware that uses GPS receivers and patch antennas mounted on the SNUGLITE-III CubeSat. This approach enables centimeter-level relative navigation using only commercial off-the-shelf hardware and GPS receivers on CubeSat platforms. Furthermore, the proposed method improves success-fix rates for integer ambiguity resolution and significantly reduces computational complexity. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-07 22:06:11","2025-11-07 22:06:11","","1181-1197","","","236","","Acta Astronaut","","","","","","","","English","","","Scopus","","","","Publisher: Elsevier Ltd","<p>Export Date: 07 November 2025; Cited By: 0; Correspondence Address: C. Kee; Institute of Advanced Machines and Design, Seoul National University, Seoul, South Korea; email: kee@snu.ac.kr; CODEN: AASTC</p>","","","Air navigation; Communication satellites; Cubesat; Extended Kalman filters; Geometry; Global positioning system; GPS-receivers; Ground based; Integer ambiguity resolution; Least squares approximations; Low earth orbit satellites; Orbits; Phase measurement; Precise relative navigations; Real time kinematic; Relative navigation; Satellite antennas; Single-frequency; Small satellites; Statistical characteristics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7SV8ZIZP","journalArticle","2025","Xu, W.J.; Wang, M.; Ma, H.F.","Babinet-duality-engineered lightweight spoof surface plasmonic leaky-wave antenna","AEU - International Journal of Electronics and Communications","","16180399 (ISSN); 14348411 (ISSN)","10.1016/j.aeue.2025.155921","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008394617&doi=10.1016%2Fj.aeue.2025.155921&partnerID=40&md5=1831d70d227970a0e2c510fc7600049a","Leaky-wave antennas (LWAs) face challenges in achieving lightweight designs due to their wavelength-dependent characteristics, which usually lead to large antenna sizes. This work proposes a complementary configuration of traditional patch-coupled LWAs based on the Babinet-duality theory, incorporating perforated patch arrays on a dielectric substrate to reduce weight. By integrating complementary spoof surface plasmon polaritons (C-SSPPs) as the waveguide, coupled feeding to the perforated patches is realized. The frequency-dependent phase difference across the patches enables sectoral beam scanning from backward to forward, demonstrating typical LWA behavior. Experimental results show continuous backward-to-forward scanning over −59° to +25° across 4.5–9.5 GHz. Calculation results confirm a 35.3 % weight reduction compared to conventional LWAs of equivalent size, making it suitable for payload-sensitive platforms such as small unmanned aerial vehicles (UAVs) and satellites. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-07 22:06:11","2025-11-07 22:06:11","","","","","200","","AEU Int. J. Electron. Commun.","","","","","","","","English","","","Scopus","","","","Publisher: Elsevier GmbH","<p>Export Date: 07 November 2025; Cited By: 0; Correspondence Address: M. Wang; Wuxi Campus, Southeast University, Wuxi, 214127, China; email: mwang@seu.edu.cn</p>","","","Antenna arrays; Babinet-duality theory; Dielectric materials; Duality theory; Electromagnetic wave polarization; Leaky wave antennas; Leaky-wave antenna; Leaky-wave antennas (LWAs); Lightweight design; Microstrip antennas; Microwave antennas; Patch arrays; Perforated patch array; Plasmon-polaritons; Plasmonics; Satellite antennas; Scanning antennas; Slot antennas; Small satellites; Spoof surface plasmon polariton; Spoof surface plasmon polaritons (SSPPs); Spoof surface plasmons; Surface plasmon resonance; Traveling wave antennas; Unmanned aerial vehicles (UAV)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WFCJMWDJ","journalArticle","2025","Jang, T.S.; Park, M.Y.; Lee, J.-S.; Park, H.-Y.; Kim, S.-G.; Kim, S.; Park, S.-O.; Shin, G.-S.; Seo, J.-K.","Development of small satellite NEXTSat-2 for X-band SAR demonstration","Acta Astronautica","","00945765 (ISSN); 0080336426 (ISBN); 0080323626 (ISBN); 0080299857 (ISBN); 9780080299853 (ISBN); 0080311067 (ISBN); 0080299865 (ISBN)","10.1016/j.actaastro.2025.05.057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007061154&doi=10.1016%2Fj.actaastro.2025.05.057&partnerID=40&md5=f64e19d83fc1b23a194c847188a98b27","The radar satellites, unlike optical satellites, can acquire the Earth surface images of interest even in clouds or at night; thus, they can be useful for Earth observation under almost all-weather conditions. Recently small satellites have become more attractive even in SAR (Synthetic Aperture Radar) applications due to their low cost of development and enhanced capability. The NEXTSat-2 (Next-Generation Satellite II) is a small radar satellite primarily aimed at demonstrating locally developed SAR technology. it also serves additional purposes, including the verification of core space technologies and the measurement of space radiation. The satellite, having a total mass of 180 kg, was built for X-band SAR with the center frequency of 9.65 GHz and a look angle of 20∼35°. It can produce SAR imagery with the resolution of 5m and the swath of 40 km in StripMap mode. It can provide the power capacity of 36 Ah, the pointing accuracy of 0.04° (3σ), the payload data transmit rate of 320 Mbps, and the data storage of 384 Gbit. The X-band SAR instrument comprises a compact SAR Central Unit, a Power Supply & Distribution Unit, deployable antennas, and Transmit/Receive Modules. The X-band SAR employs a simple and low-cost antenna system while offering large-deployable capability. The antenna is based on the rugged microstrip patch antenna array, which enables low-cost and easy fabrication. This SAR antenna system provides a radiating area of 5.2 m × 0.55 m, consisting of a total of 5 mechanical panels and 14 electrical subarray antennas. The NEXTSat-2 has been operating on a dawn-dusk orbit with 550 km altitude since its launch at Naro Space center, Korea, by the Korea Space Launch Vehicle-II (KSLV-II), in May 2023. Through on-orbit demonstration, the quality parameters of NEXTSat-2 X-band SAR were measured and the pointing calibration was performed to improve the zero-Doppler characteristics. From the SAR images, it is shown that the NEXTSat-2 can provide medium-resolution radar images to meet the needs of identifying and monitoring natural anomalies on a larger scale. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-07 22:06:11","2025-11-07 22:06:11","","55-68","","","235","","Acta Astronaut","","","","","","","","English","","","Scopus","","","","Publisher: Elsevier Ltd","<p>Export Date: 07 November 2025; Cited By: 0; Correspondence Address: T.S. Jang; Satellite Technology Research Center, Korea Advanced Institute of Science and Technology, Daejeon, 291 Daehak-ro, 34141, South Korea; email: tsjang@kaist.ac.kr; CODEN: AASTC</p>","","","Antenna system; Clouds; Condition; Earth observations; Earth's surface; Fog; Geodetic satellites; Large deployable antenna; Large-deployable antenna; Micro satellites; Multistatic radars; Nanosatellites; Optical satellites; Ozone layer; Radar satellites; Small satellites; Small-satellite; Surface image; Synthetic aperture radar; Troposphere; Upper atmosphere; Weather satellites; X-band SAR; X-band synthetic aperture radars","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62KNBVNF","journalArticle","2025","Yoo, J.; Lee, M.L.; Yang, Y.S.","3D printed and circularly polarized 28 GHz patch antenna array for small satellite communications","Aerospace Science and Technology","","12709638 (ISSN)","10.1016/j.ast.2025.110443","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007721201&doi=10.1016%2Fj.ast.2025.110443&partnerID=40&md5=ce9ffade2c046360f4d7e80ba14d4fdc","This paper presents the design, fabrication, and testing of a high-gain compact 2 × 2 circularly polarized patch antenna array using 3D printing technology for small satellite 5G communication at 28 GHz. The proposed antenna demonstrates high efficiency and a low profile, addressing the limitations in design flexibility associated with traditional PCB fabrication methods. The 2 × 2 array configuration, incorporating via fences, coaxial vertical feedlines, and a sequentially rotated phased feed network, enhances the antenna's bandwidth and axial ratio bandwidth while maintaining compactness, crucial for space-constrained satellite applications. Simulations optimized key antenna parameters, including reflection coefficient, gain, and axial ratio. Measurement results validated the simulations, showing an impedance bandwidth of 6.8 GHz and an axial ratio bandwidth of 3.1 GHz, with a peak gain of 6.33 dB. Thermal cycling and electrical tests ensured the antenna's durability in space environments, demonstrating its potential for satellite use. These results indicate that 3D-printed antennas offer advantages in performance, cost, and manufacturing flexibility for satellite communication applications. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-07 22:06:11","2025-11-07 22:06:11","","","","","164","","Aerosp Sci Technol","","","","","","","","English","","","Scopus","","","","Publisher: Elsevier Masson s.r.l.","<p>Export Date: 07 November 2025; Cited By: 1; Correspondence Address: Y.S. Yang; Materials and Components Research Division, Superintelligence Creative Research Laboratory, Electronics and Telecommunications Research Institute (ETRI), Daejeon, 34129, South Korea; email: jullios@etri.re.kr</p>","","","3-D printing; 3D printing; 3D-printing; 5g antenna; 5G antenna; Antenna feeders; Antenna phased arrays; Circular polarization; Circularly-polarized; Earth orbits; Feed networks; Geodetic satellites; Low earth orbit; Low Earth Orbit; Micro satellites; Nanosatellites; Patch antenna arrays; Printed circuit design; Satellite communication systems; Sequentially rotated phased feed network; Small satellite; Small-satellite","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZSNBM2DZ","journalArticle","2025","Kumar, A.; Kumar, P.; Karnwal, U.","Horn integrated 3-D printed four-port MIMO DRA for CubeSats","Frequenz","","21916349 (ISSN); 00161136 (ISSN)","10.1515/freq-2024-0141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003973651&doi=10.1515%2Ffreq-2024-0141&partnerID=40&md5=038f1cc61e1431a107b9937c05475663","This article explores 3D-printed horn-integrated MIMO Dielectric Resonator Antennas (DRAs) designed specifically for CubeSats. Traditional manufacturing methods struggle to create complex and customized DRAs. However, 3D printing offers a revolutionary approach, enabling the development of intricate, optimized DRA configurations even in miniaturized sizes. Notably, the 3D printing material utilized in this design is Polylactic Acid (PLA), a biodegradable material that contributes to reducing electronic waste (e-waste) in space. The proposed design boasts an impressive bandwidth exceeding 6 GHz (11.42 GHz–17.52 GHz) with an | S<inf>11</inf>| below −10 dB. It achieves a maximum gain of 12.4 dBi and a maximum directivity of 15.4 dBi. Furthermore, the Envelope Correlation Coefficient (ECC) remains remarkably low, at less than 0.06. These attributes make this MIMO antenna ideal for advanced communication systems and MIMO-enabled applications, particularly within the realm of CubeSat technology. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-07 22:06:11","2025-11-07 22:06:11","","341-351","","7-8","79","","Frequenz","","","","","","","","English","","","Scopus","","","","Publisher: Walter de Gruyter GmbH","<p>Export Date: 07 November 2025; Cited By: 0; Correspondence Address: P. Kumar; Head (Microwave & Plasma Group), SP3 Technologies LLP, GIDC, Sachin, Surat, Gujrat, India; email: er.pramodkumar@gmail.com; CODEN: FQNZA</p>","","","3-D printing; 3D-printing; Cubesat; CubeSat; Dielectric resonator antenna; Dielectric-resonator antennas; DRA (dielectric resonator antenna); horn antenna; Horn antennas; Manufacturing methods; Microstrip antennas; MIMO (multiple input multiple output); Multiple input multiple output; Multiple inputs; Multiple outputs; Traditional manufacturing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5Y39R5RD","journalArticle","2025","Ta, L.P.; Nakayama, D.; Hirose, M.","Design of a High-Gain X-Band Electromagnetic Band Gap Microstrip Patch Antenna for CubeSat Applications","Electronics (Switzerland)","","20799292 (ISSN)","10.3390/electronics14112216","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007759992&doi=10.3390%2Felectronics14112216&partnerID=40&md5=51e520a8ea01c3f36aa7248bb9392a60","Microstrip patch antennas (MPAs) are widely used in satellite communication due to their low profile, compact size, and ease of fabrication. This paper presents a design of an X-band microstrip patch antenna using an electromagnetic band gap (EBG) structure for CubeSat applications. The X-band is preferred for CubeSat missions in high-speed communication, long distance or deep space because it allows communication at higher data rates, and the antenna is smaller than those used for lower frequency bands. In our study, the EBG elements are analyzed, modified and optimized so that the antenna can fit a 10 cm × 10 cm surface area of a standard 3U CubeSat structure while providing a significant high gain and circular polarization (CP). A noticeable point of this research is that the simplicity of the antenna and the EBG structure are being maintained by just using a simple single-probe feed to achieve a total antenna efficiency exceeding 90%, and the measured gain of around 11.7 dBi at the desired frequency of 8.483 GHz. Furthermore, the measured axial ratio (AR) is around 1.4 dB at 8.483 GHz, which satisfied the lower-than-3 dB requirement for CP antennas in general. The simulation, analysis and measured results are discussed in detail. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-07 22:06:12","2025-11-07 22:06:12","","","","11","14","","Electronics (Switzerland)","","","","","","","","English","","","Scopus","","","","Publisher: Multidisciplinary Digital Publishing Institute (MDPI)","<p>Export Date: 07 November 2025; Cited By: 2; Correspondence Address: L.P. Ta; Faculty of Engineering, Kyushu Institute of Technology, Kitakyushu, 1-1 Sensuicho, Tobata Ward, Fukuoka, 804-8550, Japan; email: ta.linh-phuong224@mail.kyutech.jp</p>","","","3u cubesat; 3U cubesat; Antenna feeders; circular polarization; Circular polarization; Cubesat; Directional patterns (antenna); electromagnetic band gap; Electromagnetic bandgap (EMG); Electromagnetic bandgap structures; High gain; Low-profile; Micro-strip patch antennas; Microstrip-patch antenna; Satellite communication systems; Satellite communications; X bands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8SIZIXKZ","journalArticle","2025","Fitzpatrick, D.J.; Palo, S.E.","Innovative Systems Engineering Solutions for Power-Positive Operations: Navigating the Multi-Constraint Challenges of the SWARM-EX CubeSat Mission","Advances in Space Research","","18791948 (ISSN); 02731177 (ISSN); 0080283969 (ISBN); 0080304273 (ISBN); 0080271618 (ISBN); 0080304222 (ISBN); 0080283802 (ISBN); 0080304281 (ISBN); 0080304311 (ISBN); 0080304443 (ISBN)","10.1016/j.asr.2024.06.057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002681176&doi=10.1016%2Fj.asr.2024.06.057&partnerID=40&md5=d82a738c4fcbf39c127ff5ae272dba73","Although the small stature of CubeSats and their standardized deployer options help to lower unit development cost and facilitate launch opportunities, the physical size limits of CubeSats prove to be a double-edged sword vis-à-vis sustaining a stable power state while hosting instruments with high power demands and often strict pointing requirements. For the Space Weather Atmospheric Reconfigurable Multiscale-EXperiment (SWARM-EX), this issue is magnified by the mission's ambitious goals; to comply with mission requirements, a SWARM-EX spacecraft is required to concurrently (1) point the science instruments no more than 30° off ram when they are operational, (2) point the GPS patch antenna no more than 30° off zenith at least once per orbit, (3) point the boresight of the X-Band patch antenna no more than 18° from the ground station during downlink, (4) maximize the differential cross-sectional area during differential drag maneuvers, and (5) maximize solar array power generation at all times. Consequently, leading-edge CubeSat missions like SWARM-EX require innovative systems engineering solutions to remain power-positive during on-orbit operations. Through the design of a comprehensive module-based concept of operations, orbital power generation simulations, intricate constrained attitude profiles, and a configurable battery state of charge simulation tool, the SWARM-EX mission designers have conceived a plan to retire the risk of not maintaining a power-positive state while successfully meeting all mission requirements; it is the aim of the authors to illuminate these strategies as a case study. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-07 22:06:12","2025-11-07 22:06:12","","6847-6862","","9","75","","Adv. Space Res.","","","","","","","","English","","","Scopus","","","","Publisher: Elsevier Ltd","<p>Export Date: 07 November 2025; Cited By: 0; Correspondence Address: D.J. Fitzpatrick; Ann and H.J. Smead Department of Aerospace Engineering Sciences, University of Colorado, Boulder, Boulder, 3775 Discovery Drive, 80303, United States; email: david.fitzpatrick@colorado.edu; CODEN: ASRSD</p>","","","Attitude profiles; Budget control; Charging (batteries); Constrained attitude profile; Constrained attitude profiles; Cubesat; CubeSat; Microstrip antennas; Microwave antennas; Multiscale experiments; Orbits; Power; Power budget; Power budgets; Reconfigurable; Slot antennas; Small satellites; Small-satellite; Space weather; Space weather atmospheric reconfigurable multiscale-experiment; SWARM-EX; Systems engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EA3MN6NP","journalArticle","2025","Avşar Aydın, E.A.; Kekil, S.","Integration of a compact multiband antenna with CubeSat systems for efficient remote sensing and space applications","Physica Scripta","","14024896 (ISSN); 00318949 (ISSN)","10.1088/1402-4896/ada407","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215679279&doi=10.1088%2F1402-4896%2Fada407&partnerID=40&md5=c2b08931549c7592281becdf83673b6e","This study investigates a compact multiband antenna integrated with a CubeSat optical system for remote sensing tasks. The proposed antenna is designed and analyzed using the CST Microwave Studio simulation environment. The results on the antenna performance are found to be quite good. Furthermore, the contribution of the FSS structure is investigated and analyzed by mounting it on a 1U CubeSat chassis made of PEEK material. A distinctive feature of the antenna is its compact design, ease of fabrication, and low cost, which are made possible by the advantages of TPU filaments that can be produced using a 3D printer. The antenna can be mounted on the tip of the nanosatellite together with the camera, providing space for solar panels or other equipment without using additional space in the side areas. Given the limited dimensions of CubeSats, our antenna makes efficient use of the surface. The antenna operates in the S, C, X, Ku, K, and Ka bands and achieves gains of 6.31, 4.08, 9.97, 7.06, 7.12, and 8.22 dBi, respectively; the reflection coefficient is much lower than −10 dB, and the VSWR value is below 1.5. In summary, the microstrip patch antenna system proposed in this work can be used in similar CubeSat remote sensing applications, offering excellent performance, reliability, simplicity, and compact dimensions in the fabrication and deployment system. In the future, we plan to perform fabrication and space environment testing of the proposed antenna, such as vibration, thermal vacuum cycling, and thermal shock. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-07 22:06:12","2025-11-07 22:06:12","","","","2","100","","Phys Scr","","","","","","","","English","","","Scopus","","","","Publisher: Institute of Physics","<p>Export Date: 07 November 2025; Cited By: 0; Correspondence Address: E.A. Aydin; Adana Alparslan Turkes Science and Technology University, Department of Aerospace Engineering, Adana, Sarıcam, Turkey; email: eaydin@atu.edu.tr; S. Kekil; Adana Alparslan Turkes Science and Technology University, Department of Aerospace Engineering, Adana, Sarıcam, Turkey; email: serkankekil181@gmail.com; CODEN: PHSTB</p>","","","3-D printing; 3D printing; 3D-printing; Antenna reflectors; CubeSAT; Frequency selective surface; frequency selective surface (FSS); Frequency selective surfaces; Frequency-selective surfaces; Greenhouse effect; Micro-strip patch antennas; microstrip patch antenna; Microstrip-patch antenna; Multiband antennas; Nanosatellites; reflection coefficient; Satellite antennas; satellite integration; Satellite integration; Shock testing; Slot antennas; Space applications; Tropics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
