"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TS83RTPD","journalArticle","2025","Hemachai, Thanaphon; Dentri, Sitthichai; Janpangngern, Pisit; Phakphisut, Watid; Torrungrueng, Danai; Phongcharoenpanich, Chuwong","Corner-truncated patch antenna with parasitic elements and circular feed slot for S-band CubeSat applications","Results in Engineering","","2590-1230","10.1016/j.rineng.2025.107825","https://www.sciencedirect.com/science/article/pii/S2590123025038770","This study presents a corner-truncated patch antenna with symmetrically loaded parasitic elements and a circular feed slot designed for CubeSat S-band communication applications. The antenna design evolves through successive stages, integrating corner truncations, a slit-ring structure, and segment-circular parasitic patches to enhance impedance matching and polarization performance. In its final configuration, a dual-stacked arrangement with inter-substrate spacing and a vertical capacitive feed further improves current distribution symmetry and broadens the operational bandwidth. Parametric analysis validates the effectiveness of each antenna design refinement, demonstrating improvements in impedance bandwidth, axial ratio bandwidth, and gain performance. The fabricated prototype achieves a wide impedance bandwidth from 1.65 GHz to 2.70 GHz, fully encompassing the CubeSat uplink (2.025–2.110 GHz) and downlink (2.200–2.290 GHz) frequency ranges. It maintains an axial ratio below 3 dB across 1.97 GHz to 2.32 GHz, ensuring efficient circular polarization. Additionally, a stable gain of approximately 7.50 dBic at 2.025 GHz supports reliable communication with ground stations. The combination of compact structure, low profile, and wideband circular polarization makes the proposed antenna a promising candidate for CubeSat communication systems. The novelty of this research lies in the integration of a corner-truncated patch, symmetrically loaded segment-circular parasitic elements, and a circular slit-ring capacitive feed within a dual-stacked substrate configuration to achieve wideband circular polarization and stable unidirectional radiation.","2025-12-01","2025-11-07 22:09:02","2025-11-07 22:09:02","","107825","","","28","","Results in Engineering","","","","","","","","","","","","","","","","","","","Capacitive feed; Circular polarization; Parasitic-loaded; S-band applications; Slit-ring structure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E2KXMYXA","journalArticle","2025","Fitzpatrick, David J.; Palo, Scott E.","Innovative Systems Engineering Solutions for Power-Positive Operations: Navigating the Multi-Constraint Challenges of the SWARM-EX CubeSat Mission","Science and applied research with small satellites","","0273-1177","10.1016/j.asr.2024.06.057","https://www.sciencedirect.com/science/article/pii/S0273117724006483","Although the small stature of CubeSats and their standardized deployer options help to lower unit development cost and facilitate launch opportunities, the physical size limits of CubeSats prove to be a double-edged sword vis-à-vis sustaining a stable power state while hosting instruments with high power demands and often strict pointing requirements. For the Space Weather Atmospheric Reconfigurable Multiscale-EXperiment (SWARM-EX), this issue is magnified by the mission’s ambitious goals; to comply with mission requirements, a SWARM-EX spacecraft is required to concurrently (1) point the science instruments no more than 30° off ram when they are operational, (2) point the GPS patch antenna no more than 30° off zenith at least once per orbit, (3) point the boresight of the X-Band patch antenna no more than 18° from the ground station during downlink, (4) maximize the differential cross-sectional area during differential drag maneuvers, and (5) maximize solar array power generation at all times. Consequently, leading-edge CubeSat missions like SWARM-EX require innovative systems engineering solutions to remain power-positive during on-orbit operations. Through the design of a comprehensive module-based concept of operations, orbital power generation simulations, intricate constrained attitude profiles, and a configurable battery state of charge simulation tool, the SWARM-EX mission designers have conceived a plan to retire the risk of not maintaining a power-positive state while successfully meeting all mission requirements; it is the aim of the authors to illuminate these strategies as a case study.","2025-05-01","2025-11-07 22:09:02","2025-11-07 22:09:02","","6847-6862","","9","75","","Advances in Space Research","","","","","","","","","","","","","","","","","","","Constrained attitude profiles; CubeSat; Power budget; Small satellites; SWARM-EX; Systems engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A5967LIW","journalArticle","2012","Babuscia, Alessandra; McCormack, Matthew Michael; Munoz, Michael; Parra, Spencer; Miller, David W.","Mit castor satellite: Design, implementation, and testing of the communication system","Acta Astronautica","","0094-5765","10.1016/j.actaastro.2012.07.005","https://www.sciencedirect.com/science/article/pii/S0094576512002688","Cathode Anode Satellite Thruster for Orbital Reposition (CASTOR) is an orbital manoeuvre and transfer micro-satellite bus developed at MIT Space System Laboratory. The technical objective of the mission is achieving 1km/s of delta-V over a 1 year mission in Low Earth Orbit (LEO). This will be accomplished using a novel electric propulsion system, the Diverging Cusped Field Thruster (DCFT), which enables high efficiency orbital changes of the ESPA-ring class satellite. CASTOR is capable of improving rapid access to space capabilities by providing an orbital transfer platform with a very high performance to mass ratio, thus greatly reducing launch costs and allowing for highly efficient orbital manoeuvre. Furthermore, CASTOR is highly scalable and modular, allowing it to be adapted to a wide range of scales and applications. CASTOR is developed as part of the University Nanosatellite Program (UNP) funded by Air Force Research Laboratory (AFRL). In order to accomplish CASTOR mission objective, a highly optimized, scalable, light weight, and low cost communication system needed to be developed. These constraints imply the development of trade studies to select the final communication system architecture able to maximize the amount of data transmitted, while guaranteeing reliability, redundancy and limited mass, power consumption, and cost. A special attention is also required to guarantee a reliable communication system in cases of tumbling, or in case of strong Doppler shift which is inevitable due to the high delta-V capabilities of the vehicle. In order to accomplish all the mission requirements, different features have been introduced in the design of the communication system for this mission. Specifically, customized patch antennas have been realized, and a customized communication protocol has been designed and implemented. The communication subsystem has been validated through an intense testing campaign which included software tests in the laboratory, hardware tests in anechoic chamber, and in flight tests through a balloon experiment. The article presents an overview of CASTOR mission, a presentation of the trade studies analysis and of the final communication architecture selected, a description of the customized antenna developed, of the customized protocol designed, and a presentation of the results of the tests performed.","2012-12-01","2025-11-07 22:09:02","2025-11-07 22:09:02","","111-121","","1","81","","Acta Astronautica","","","","","","","","","","","","","","","","","","","Antennas; Communication protocol; Communication systems; Electric propulsion; ESPA ring satellite; Link analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6KUAGPTC","journalArticle","2020","Platero, Valorie; Ferguson, Philip; Jayaraman, Raghavan; Isleifson, Dustin","2-In-1 smart panels: Embedding phased array patch antennas within satellite structures","Acta Astronautica","","0094-5765","10.1016/j.actaastro.2020.04.050","https://www.sciencedirect.com/science/article/pii/S0094576520302654","The increasing commercialization of space missions call for versatile subsystems that make efficient use of limited spacecraft volumes. Smart panel technology that provides both mechanical and electrical functionality is a beneficial solution to spacecraft miniaturization. Combining different subsystems that are usually developed independently of each other is an innovative approach to space system design. Embedding antennas within satellite structural components reduces the overhead required for integrating numerous systems and maximizes space for the payload and other critical instruments. Microstrip patch antennas provide a low profile, light weight, small-dimension and easily manufactured solution to small satellite communication. The phased array functionality of the antenna enables dynamic beamforming for maximum versatility. In this paper, we evaluate the feasibility of an embedded phased array microstrip patch antenna with a hybrid composite structural panel comprised of carbon fiber reinforced epoxy composite (CFC), Polyethylene fiber reinforcedpolyethylene composite (PFC) (HDPE), and aluminium, with SU-8 as the antenna substrate. The embedded antenna panels are designed to be adaptable for any function and size required by the end user. We present the design of the smart panel antenna modelled using electromagnetic simulation software. The CFC and PFC materials are modelled with approximations of their electrical properties derived from experimental S-parameter and impedance measurements. The simulated antenna's radiation performance such as half power beamwidth, efficiency and gain are evaluated. The performance characteristics of the simulated antenna design are used to evaluate its application and feasibility in systems integration, and different uses in case studies including radar mapping spacecraft, satellite constellations, and CubeSats.","2020-10-01","2025-11-07 22:09:02","2025-11-07 22:09:02","","51-56","","","175","","Acta Astronautica","","","","","","","","","","","","","","","","","","","Antennas; Communications; Composites; CubeSats; Multifunctional structures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TLBUFTP8","journalArticle","2013","Babuscia, Alessandra; Corbin, Benjamin; Knapp, Mary; Jensen-Clem, Rebecca; Van de Loo, Mark; Seager, Sara","Inflatable antenna for cubesats: Motivation for development and antenna design","Acta Astronautica","","0094-5765","10.1016/j.actaastro.2013.06.005","https://www.sciencedirect.com/science/article/pii/S0094576513001951","CubeSats and small satellites have potential to provide means to explore space and to perform science in a more affordable way. As the goals for these spacecraft become more ambitious in space exploration, moving from Low Earth Orbit (LEO) to Geostationary Earth Orbit (GEO) or further, the communication systems currently implemented will not be able to support those missions. One of the bottlenecks in small spacecraft communication systems is represented by antennas' size, due to the close relation between antenna gain and dimensions. Current antennas for CubeSats are mostly dipole or patch antennas with limited gain. Deployable (not inflatable) antennas for CubeSats are currently being investigated, but these solutions are affected by the challenge of packaging the whole deployable structure in a small spacecraft. The work that we propose represents the first attempt to develop an inflatable antenna for CubeSats. Inflatable structures and antennas can be packaged efficiently occupying a small amount of space, and they can provide, once deployed, large dish dimension and correspondent gain. Inflatable antennas have been previously tested in space (Inflatable Antenna Experiment, STS-77). However they have never been developed for small spacecraft such as CubeSats, where the packaging efficiency, the deployment, and the inflation represent a challenge. Our study explores for the first time the possibility of developing such antenna in a way compatible with CubeSat dimensions and constraints. The research provides answers on the possible dimensions for an inflatable antenna for small satellites, on the gain and resolution that can be achieved, and on the deployment and inflation mechanism compatible with CubeSat. Future work in the development of the antenna will include the test of the antenna in flight during a specific technical demonstration mission. The article is structured as follows: context and motivation for Cubesat inflatable antenna are described; then a study to design the antenna which achieves the required performance metrics, while respecting the constraints imposed by CubeSat structure, is presented.","2013-10-01","2025-11-07 22:09:02","2025-11-07 22:09:02","","322-332","","","91","","Acta Astronautica","","","","","","","","","","","","","","","","","","","Antenna; Communication systems; CubeSat; Inflatable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6IB8F66F","journalArticle","2023","Fernandez, Lara; Munoz-Martin, Joan Francesc; Ruiz-de-Azua, Joan A.; Calveras, Anna; Camps, Adriano","Design and validation of a dual-band circular polarization patch antenna and stripline combiner for the FSSCat mission","Acta Astronautica","","0094-5765","10.1016/j.actaastro.2023.03.042","https://www.sciencedirect.com/science/article/pii/S0094576523001613","The FMPL-2 payload on board the 3Cat-5/A 6 Unit CubeSat, part of the FSSCat CubeSat mission, includes a dual L-Band Microwave Radiometer and a Global Navigation Satellite System Reflectometer, in one instrument, implemented in a Software Defined Radio. One of the design challenges of this payload was its Nadir looking Antenna, which had to be directive (> 12 dB), dual-band at 1400–1427 MHz and 1575.42 MHz, left-hand circularly polarized, and with important envelope restrictions, notably with a low profile. After a trade-off analysis, the best design solution appeared to be an array of six elements each of them being a stacked dual-band patch antenna, with diagonal feed to create the circular polarization, and a six to one stripline combiner. The design process of the elementary antennas first includes a theoretical analysis, to obtain the approximate dimensions. Then, by means of numerical simulations, prototyping, and adjusting the results in the simulations, the manufacturing errors and dielectric constant tolerances, to which patch antennas are very sensitive, can be characterized. A similar approach is taken with the combiner. This article includes the theoretical analysis, simulations, and prototype results, including the Flight Model assembly and characterization.","2023-07-01","2025-11-07 22:09:03","2025-11-07 22:09:03","","194-204","","","208","","Acta Astronautica","","","","","","","","","","","","","","","","","","","Antenna; CubeSat; Earth Observation; L-band; Nanosatellite; Patch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LTEX6GQ4","journalArticle","2025","Yoo, Jengsu; Lee, Myung Lae; Yang, Yong Suk","3D printed and circularly polarized 28 GHz patch antenna array for small satellite communications","Aerospace Science and Technology","","1270-9638","10.1016/j.ast.2025.110443","https://www.sciencedirect.com/science/article/pii/S1270963825005140","This paper presents the design, fabrication, and testing of a high-gain compact 2 × 2 circularly polarized patch antenna array using 3D printing technology for small satellite 5G communication at 28 GHz. The proposed antenna demonstrates high efficiency and a low profile, addressing the limitations in design flexibility associated with traditional PCB fabrication methods. The 2 × 2 array configuration, incorporating via fences, coaxial vertical feedlines, and a sequentially rotated phased feed network, enhances the antenna's bandwidth and axial ratio bandwidth while maintaining compactness, crucial for space-constrained satellite applications. Simulations optimized key antenna parameters, including reflection coefficient, gain, and axial ratio. Measurement results validated the simulations, showing an impedance bandwidth of 6.8 GHz and an axial ratio bandwidth of 3.1 GHz, with a peak gain of 6.33 dB. Thermal cycling and electrical tests ensured the antenna's durability in space environments, demonstrating its potential for satellite use. These results indicate that 3D-printed antennas offer advantages in performance, cost, and manufacturing flexibility for satellite communication applications.","2025-09-01","2025-11-07 22:09:03","2025-11-07 22:09:03","","110443","","","164","","Aerospace Science and Technology","","","","","","","","","","","","","","","","","","","3D printing; 5G antenna; Circular polarization; Low Earth Orbit; Sequentially rotated phased feed network; Small satellite","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XYEGCBRQ","journalArticle","2022","Meirambekuly, Nursultan; Temirbayev, Amirkhan A.; Zhanabaev, Zeynulla Zh.; Karibayev, Beibit A.; Namazbayev, Timur A.; Khaniyev, Bakyt A.; Khaniyeva, Ainur K.","Dual-band optical imaging system-integrated patch antenna based on anisotropic fractal for earth-observation CubeSats","Ain Shams Engineering Journal","","2090-4479","10.1016/j.asej.2021.07.010","https://www.sciencedirect.com/science/article/pii/S2090447921003117","This paper presents a dual-band optical imaging system-integrated patch antenna based on an anisotropic fractal for Earth-observation CubeSats. The antenna operates at S-band frequencies. The size of the antenna is chosen to match the end face of the CubeSats. The antenna's main characteristics are studied using simulation in Computer Simulation Technology (CST) software; prototypes are developed to verify these characteristics. Double-sided Glass Epoxy Sheet FR-4 is used to develop the antenna prototype. By studying the antenna prototype, realized gain up to 4 dBi and 2.15 dBi at two resonant frequencies of the antennas with different substrate heights are obtained. Small size, low cost, dual-band, and integration with the imaging system allow achieving the entire CubeSat system's efficiency.","2022-03-01","2025-11-07 22:09:03","2025-11-07 22:09:03","","101560","","2","13","","Ain Shams Engineering Journal","","","","","","","","","","","","","","","","","","","Anisotropic fractal; CubeSat; Dual-band antenna; Earth-observation; Nanosatellite; S-band","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EFDPDDSB","journalArticle","2023","Mirza, Hidayath; Sultana, Nishat","A wideband flexible electro-textiles material linear-to-circular polarizing metasurface for S-band CubeSat","Materials Today: Proceedings","","2214-7853","10.1016/j.matpr.2023.05.646","https://www.sciencedirect.com/science/article/pii/S2214785323032807","In this paper, a flexible linear-to-circular polarizer FSS-based surface made from a single layer of cloth is introduced. Two orthogonal strips serve as the foundation for the proposed structure's architecture, with a central aperture in the unit cell for the pico-satellites aimed towards the S-Band. A wearable material called Shieldit Super serves as the conducting fabric in the unit cell, while Felt serves as the substrate. For the working center frequency of 2.41 GHz, the unit cell size is 0.32λ × 0.26λ × 0.02λ. It has a 3 dB axial ratio bandwidth (ARBW) of 42.90% and an axial ratio of 0.08 dB at 2.41 GHz, which is very close to zero. In addition, the FSS metasurface provides a bandwidth of up to 56.84% with 90% conversion efficiency. The polarizing surface is then created by multiplying this unit cell by a 6 × 6 array. The proposed structure's performance is proven by placing it in front of a patch antenna operating at 2.41 GHz. In addition to efficiently converting linearly polarized waves into circularly polarized waves, the antenna's performance improved when paired with the polarizing surface, as measured by the realized gain, which went from 3.14 dBi to 7.33 dBi.","2023-06-09","2025-11-07 22:09:03","2025-11-07 22:09:03","","","","","","","Materials Today: Proceedings","","","","","","","","","","","","","","","","","","","Circular polarization; Flexible metasurface; Linear to circular polarizer; Low earth orbit satellites","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y2ZGJSX8","journalArticle","2025","Park, Gagyeong; Yang, Dong-Wook; Oh, Min-Woo; Chae, Jang-Soo; Yoon, Hyosang; Han, Jae-Hung; Lee, Dae-Young","Deployable mesh reflector antenna for global navigation satellite system radio occultation within 1U CubeSat form factor","Aerospace Science and Technology","","1270-9638","10.1016/j.ast.2025.110694","https://www.sciencedirect.com/science/article/pii/S1270963825007655","The Global Navigation Satellite System Radio Occultation (GNSS-RO) technique is recognized as an effective method for atmospheric observation. However, the cost of deploying and operating satellite constellations remains a significant challenge. CubeSats offer a promising alternative due to their cost efficiency and mission flexibility, but their small form factor limits antenna aperture size, resulting in reduced antenna gain—a critical factor for GNSS-RO performance. This study presents a 0.5-meter deployable mesh reflector antenna designed to be stowed within a standard 1 U CubeSat (10 cm × 10 cm × 10 cm). The proposed design employs a central hub with a cross-axis folding and locking mechanism that enables both a high storage ratio and reliable deployment. The prototype demonstrates high geometric stability, achieving a deployed surface accuracy with a root mean square error of 5.41 mm after the first deployment. The measured directivity reaches 13.07 dBi, representing a 61 % improvement over a commercial GNSS-RO patch antenna.","2025-12-01","2025-11-07 22:09:03","2025-11-07 22:09:03","","110694","","","167","","Aerospace Science and Technology","","","","","","","","","","","","","","","","","","","Cross-axis folding hinge; CubeSat; Deployable antenna; GNSS-RO; Mesh reflector antenna","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
