Year;Author;Title;Abstract;estado;justificacion;fase2_score;fase2_clasificacion;fase2_justificacion;fase2_model_used
2022;"Herrera-Martín, J.M.; González-Posadas, V.; Segovia-Vargas, D.";183GHz Cavity-Backed Spiral Radiometer Antenna with Dual Circular Polarization for Earth Observation Applications;"New radiometer technology is a key enabling factor for the upcoming new generation of space missions; earth observation applications, with the use of cubesats and nanosatellites, will benefit greatly from the insight into our own planet these sensors can offer. In this paper, a four-armed cavity-backed radiometer spiral antenna is designed and simulated to capture the 183text{GHz}pm 5text{GHz} water absorption line, fundamental for measuring moisture levels in the atmosphere and evaluating the effects of climate change in our planet. Due to the manufacturing difficulties involved, a scaled design centered in 7GHz is also provided. This scaled design is manufactured and measured as a way to validate the EHF design. © 2022 Elsevier B.V., All rights reserved.";0;EXCLUDED: Missing required concepts: Microstrip_Antenna_Patch, Cubesat_Small_Satellite;;;;
2020;"Platero, Valorie; Ferguson, Philip; Jayaraman, Raghavan; Isleifson, Dustin";2-In-1 smart panels: Embedding phased array patch antennas within satellite structures;The increasing commercialization of space missions call for versatile subsystems that make efficient use of limited spacecraft volumes. Smart panel technology that provides both mechanical and electrical functionality is a beneficial solution to spacecraft miniaturization. Combining different subsystems that are usually developed independently of each other is an innovative approach to space system design. Embedding antennas within satellite structural components reduces the overhead required for integrating numerous systems and maximizes space for the payload and other critical instruments. Microstrip patch antennas provide a low profile, light weight, small-dimension and easily manufactured solution to small satellite communication. The phased array functionality of the antenna enables dynamic beamforming for maximum versatility. In this paper, we evaluate the feasibility of an embedded phased array microstrip patch antenna with a hybrid composite structural panel comprised of carbon fiber reinforced epoxy composite (CFC), Polyethylene fiber reinforcedpolyethylene composite (PFC) (HDPE), and aluminium, with SU-8 as the antenna substrate. The embedded antenna panels are designed to be adaptable for any function and size required by the end user. We present the design of the smart panel antenna modelled using electromagnetic simulation software. The CFC and PFC materials are modelled with approximations of their electrical properties derived from experimental S-parameter and impedance measurements. The simulated antenna's radiation performance such as half power beamwidth, efficiency and gain are evaluated. The performance characteristics of the simulated antenna design are used to evaluate its application and feasibility in systems integration, and different uses in case studies including radar mapping spacecraft, satellite constellations, and CubeSats.;1;INCLUDED: All concepts present (Microstrip_Antenna_Patch=YES, Cubesat_Small_Satellite=YES). Keywords found: patch antenna, microstrip patch, small satellite;0.85;observación;The abstract specifically mentions the design and performance evaluation of microstrip patch antennas for small satellite communication, including CubeSats. Key phrases include 'Microstrip patch antennas provide a low profile, light weight, small-dimension and easily manufactured solution to small satellite communication' and 'The performance characteristics of the simulated antenna design are used to evaluate its application and feasibility in systems integration, and different uses in case studies including radar mapping spacecraft, satellite constellations, and CubeSats.';qwen/qwen-2.5-72b-instruct
2025;"Yoo, Jengsu; Lee, Myung Lae; Yang, Yong Suk";3D printed and circularly polarized 28 GHz patch antenna array for small satellite communications;This paper presents the design, fabrication, and testing of a high-gain compact 2 × 2 circularly polarized patch antenna array using 3D printing technology for small satellite 5G communication at 28 GHz. The proposed antenna demonstrates high efficiency and a low profile, addressing the limitations in design flexibility associated with traditional PCB fabrication methods. The 2 × 2 array configuration, incorporating via fences, coaxial vertical feedlines, and a sequentially rotated phased feed network, enhances the antenna's bandwidth and axial ratio bandwidth while maintaining compactness, crucial for space-constrained satellite applications. Simulations optimized key antenna parameters, including reflection coefficient, gain, and axial ratio. Measurement results validated the simulations, showing an impedance bandwidth of 6.8 GHz and an axial ratio bandwidth of 3.1 GHz, with a peak gain of 6.33 dB. Thermal cycling and electrical tests ensured the antenna's durability in space environments, demonstrating its potential for satellite use. These results indicate that 3D-printed antennas offer advantages in performance, cost, and manufacturing flexibility for satellite communication applications.;0;EXCLUDED: Contains exclusion keywords: 3D-printed;;;;
2020;"Mazingue, G.; Byrne, B.; Romier, M.; Capet, N.";3D Printed Ceramic Antennas for Space Applications;This paper is an application and an evolution of the new technology that has been already used for a GNSS L1 patch antenna. This technology allows the design of miniature antennas consisting of ceramic material manufactured with an additive process. Based on a patented technology, the dielectric material is structured with a 3D lattice design to obtain the desired effective permittivity. Two different lattices have been studied in this paper which are applied to a miniature circularly polarized dielectric resonator antenna (DRA). Simulated results are given and discussed. © 2020 Elsevier B.V., All rights reserved.;0;EXCLUDED: Missing required concepts: Cubesat_Small_Satellite;;;;
2021;"Mazingue, G.; Romier, M.; Capet, N.";3D Printed Ceramic Low-Profile GNSS Antenna for SmallSats;This paper presents the design of a compact GNSS (Global Navigation Satellite System) L1 band patch antenna. This design features a 3D printed structured substrate, with customizable permittivity, enabling a compromise to be reached between miniaturization and RF performances. Mechanical and thermal tests show the ability of such design to withstand the harsh environment constraints of SmallSats. A low-profile variant is also presented for Nanosatellites applications. © 2021 Elsevier B.V., All rights reserved.;0;EXCLUDED: Missing required concepts: Cubesat_Small_Satellite;;;;
2018;"Tena Sánchez, R.T.; Breinbjerg, O.; Kim, O.S.";3D-metal-printed 60 GHz offset dual-reflector antenna with integrated conical feed horn and circular-to-rectangular waveguide transition;The aim of this work is to investigate the potential of additive manufacturing for advanced high-frequency and high-gain antennas. A 60 GHz 3D printed offset dual-reflector antenna is designed and fabricated by selective laser melting. The dual-reflector antenna was measured at the DTU Planar Near-Field Antenna Test Facility with a peak directivity of 33 dBi which corresponds to an aperture illumination efficiency of 63%. Some specifications for the antenna are based on applications for intersatellite link between cubesats. Simulation results in comparison with measurements are provided in this paper, showing that direct metal 3D printing is possible and may be an alternative to conventional manufacturing techniques. © 2020 Elsevier B.V., All rights reserved.;0;EXCLUDED: Missing required concepts: Microstrip_Antenna_Patch, Cubesat_Small_Satellite;;;;
2019;"Lobato-Morales, H.; Villarreal-Reyes, S.; Guerrero-Arbona, E.; Martinez-Aragon, E.; Chávez-Ṕerez, R.A.; Medina-Monroy, J.L.; Figueroa-Torres, C.A.";A 2.45-GHz circular polarization closed-loop travelling-wave antenna for cubesats;A microstrip antenna based on a travelling-wave radiator for circular polarization operating at 2.45 GHz is presented in this paper. A quadrature hybrid coupler is used to feed the radiator allowing either left-hand or right-hand circular polarization with good isolation between both modes. The proposed structure provides good performance in terms of bandwidth, gain, axial-ratio, and front-to-back ratio. The circuit is designed and implemented over a single layer for panel mounting and is proposed to be readily integrated with two-unit, or more, cubesats. © 2019 Elsevier B.V., All rights reserved.;0;EXCLUDED: Missing required concepts: Cubesat_Small_Satellite;;;;
2024;"K. Ding; V. Vidojkovic; D. Milosevic; K. Khalaf; R. van Dommele; M. Bentum; P. Baltus";A 23-GHz TX/LNA Front-End Module for Inter-Satellite Links With 27.8% Peak Efficiency in the TX Path and 3.1-dB NF in the RX Path;"This article presents a 23-GHz transmitter/low-noise amplifier (TX/LNA) front-end module (FEM) in 130-nm SiGe BiCMOS for inter-satellite links (ISLs) in the system of orbiting low-frequency antenna array (OLFAR). The FEM consists of an LNA, a power amplifier (PA), a variable-gain amplifier (VGA), a phase shifter (PS), and a TX/receiver switch (T/R SW). By applying the combination of different techniques: 1) multi-function block design strategy; 2) current reuse and  ${\mathrm { g}}_{\mathrm { m}}$  boosting implemented by a triple-coil transformer in the LNA; 3) dual-LC-tank-based integrated T/R SW, a compact FEM is achieved, simultaneously with an advanced-state-of-the-art efficiency in the TX path and a competitive noise figure (NF) in the receiver (RX) path. In the TX path, it demonstrates a measured saturated output power ( $\mathrm {P}_{\mathrm {sat}}$ ) of 16.8 dBm, a peak TX efficiency of 27.8%, and a 34.1-dB gain. It supports 900-Mbps 64-QAM signals with 4.9% error vector magnitude (EVM) and −27.5-dBc adjacent channel power ratio (ACPR), at 9.0-dBm output power ( $\mathrm {P}_{\mathrm {out}}$ ) with 8.8% TX efficiency. In the RX path, an NF of 3.1 dB and an input 1-dB compression point (IP $_{\mathrm {1~dB}}$ ) of −19.4 dBm are achieved with a 19.3-dB gain and a 10-mW power consumption. The core chip area is  $1.11\times 0.48$  mm.";0;EXCLUDED: Contains exclusion keywords: state-of-the-art;;;;
2017;"El Bakkali, M.; El Gholb, Y.; Tabakh, I.; Mounsef, A.; El Amrani El Idrissi, N.";A 28 GHz rectangular patch antenna with parasitic element for small satellite applications;This paper introduces a Ka band antenna candidate for small satellite communications. The design is a compact rectangular patch antenna with inset feed and parasitic element. The antenna's performances are analyzed using both HFSS 15.0 and CST Microwave Studio 2017 simulators. The designed antenna provides a high gain, better efficiency, ultra-wide band (UWB), and a uni-directional radiation pattern. The geometry and size of the parasitic element and distance between it and the patch are optimized to achieve the desired results. © 2018 Elsevier B.V., All rights reserved.;1;INCLUDED: All concepts present (Microstrip_Antenna_Patch=YES, Cubesat_Small_Satellite=YES). Keywords found: patch antenna, small satellite;0.85;observación;The abstract mentions a 'rectangular patch antenna' which is a type of microstrip antenna, and it is designed for 'small satellite communications.' While the abstract does not explicitly mention CubeSats, small satellites often include CubeSats, and the focus on compact design and performance metrics (high gain, better efficiency, ultra-wide band, and uni-directional radiation pattern) are relevant to CubeSat communication systems.;qwen/qwen-2.5-72b-instruct
2024;"Li, Y.; Rao, J.; Wang, L.; Ding, Y.; Podilchak, S.K.";A 3-D metal printed folded-shorted patch array with an integrated feeding circuit offering dual-band circularly polarised radiation for cubesat applications;This letter presents a three-dimensional (3-D) printed metallic antenna array that combines folded-shorted patches (FSPs) and meandering for structure compactness. The design provides dual-band functionality, operating in the L-band and the S-band. The compact and broadband feeding network, which is also integrated onto the backside of the antenna ground plane, enables circularly polarised radiation over an operational bandwidth of more than 80%. The dimensions of the array are 0.4 × 0.4 × 0.056 (Formula presented.) (where λ<inf>0</inf> is the free space wavelength at 1.2 GHz), making the design suitable for CubeSats and other space constraint applications. The measured right-handed circular polarised realised gains are 2.32 dBic and 1.84 dBic at 1.2 GHz and 2.45 GHz, respectively. In addition, the 3-D metallic printed FSP elements can be flexibly arranged for different link requirements and other applications like beam steering. © 2024 Elsevier B.V., All rights reserved.;0;EXCLUDED: Missing required concepts: Microstrip_Antenna_Patch;;;;
