year,platform
2016,FEKO
2021,HFSS
2015,CST
2021,CST
2023,CST
2024,CST
2025,CST
2023,HFSS
2023,ANSYS
2018,FEKO
2022,FEKO
2025,ADS
2023,CST
2022,FEKO
2017,CST
2018,HFSS
2018,CST
2018,ANSYS
2019,HFSS
2019,ANSYS
2019,HFSS
2019,CST
2022,HFSS
2021,CST
2024,FEKO
2024,FEKO
2023,CST
2017,FEKO
2016,CST
2021,FEKO
2025,CST
2020,CST
2021,HFSS
2021,ANSYS
2021,CST
2023,HFSS
2015,FEKO
2015,HFSS
2014,FEKO
2014,FEKO
2025,FEKO
2023,CST
2020,FEKO
2018,HFSS
2018,HFSS
2023,HFSS
2023,ANSYS
2023,HFSS
2023,ANSYS
2022,HFSS
2022,ANSYS
2022,HFSS
2022,ANSYS
2017,FEKO
2021,FEKO
2021,FEKO
2024,FEKO
2020,FEKO
2020,FEKO
2019,HFSS
2025,FEKO
2025,FEKO
2023,FEKO
2022,CST
2014,CST
2014,CST
2018,CST
2022,FEKO
2018,CST
2018,CST
2025,HFSS
2025,CST
2018,HFSS
2018,ANSYS
2015,FEKO
2015,IE3D
2015,HFSS
2018,CST
2018,FEKO
2018,HFSS
2018,CST
2021,CST
2021,COMSOL
2016,FEKO
2017,HFSS
2021,ANSYS
2025,CST
2025,CST
2021,HFSS
2021,CST
2015,HFSS
2016,HFSS
2024,CST
2016,FEKO
